month,court,JID,JYEAR,JCASE,JNO,JDATE,JTITLE,JFULL_len,工程次數,命中依據,JPDF,src_path
202101,最高法院民事,"TPSV,108,台上,1695,20210127,1",108,台上,1695,20210127,請求履行契約,7027,66,標題,,"202101/最高法院民事/TPSV,108,台上,1695,20210127,1.json"
202101,最高法院民事,"TPSV,109,台上,1017,20210114,1",109,台上,1017,20210114,請求給付工程款,5225,58,標題,,"202101/最高法院民事/TPSV,109,台上,1017,20210114,1.json"
202101,最高法院民事,"TPSV,109,台上,1455,20210106,1",109,台上,1455,20210106,請求給付工程保留款等,5303,47,標題,,"202101/最高法院民事/TPSV,109,台上,1455,20210106,1.json"
202101,最高法院民事,"TPSV,109,台上,3147,20210106,1",109,台上,3147,20210106,請求給付工程款,2987,21,標題,,"202101/最高法院民事/TPSV,109,台上,3147,20210106,1.json"
202101,最高法院民事,"TPSV,109,台上,3230,20210106,1",109,台上,3230,20210106,請求返還履約保證金等,4406,16,標題,,"202101/最高法院民事/TPSV,109,台上,3230,20210106,1.json"
202101,最高法院民事,"TPSV,109,台上,3249,20210114,1",109,台上,3249,20210114,請求給付工程款,4913,3,標題,,"202101/最高法院民事/TPSV,109,台上,3249,20210114,1.json"
202101,最高法院民事,"TPSV,110,台上,284,20210128,1",110,台上,284,20210128,請求給付工程款,5236,42,標題,,"202101/最高法院民事/TPSV,110,台上,284,20210128,1.json"
202101,福建連江地方法院民事,"LCDV,109,重訴,1,20210113,1",109,重訴,1,20210113,債務不履行損害賠償,13754,1,標題,,"202101/福建連江地方法院民事/LCDV,109,重訴,1,20210113,1.json"
202101,福建金門地方法院民事,"KMDV,107,建,5,20210128,2",107,建,5,20210128,給付工程款等,60418,371,標題,,"202101/福建金門地方法院民事/KMDV,107,建,5,20210128,2.json"
202101,臺灣嘉義地方法院民事,"CYDV,108,建,27,20210129,1",108,建,27,20210129,給付工程款,28557,166,標題,https://data.judicial.gov.tw/opendl/JDocFile/CYDV/108%2c%e5%bb%ba%2c27%2c20210129%2c1.pdf,"202101/臺灣嘉義地方法院民事/CYDV,108,建,27,20210129,1.json"
202101,臺灣嘉義地方法院民事,"CYDV,108,訴,587,20210128,3",108,訴,587,20210128,履行契約等,8510,85,標題,https://data.judicial.gov.tw/opendl/JDocFile/CYDV/108%2c%e8%a8%b4%2c587%2c20210128%2c3.pdf,"202101/臺灣嘉義地方法院民事/CYDV,108,訴,587,20210128,3.json"
202101,臺灣宜蘭地方法院民事,"ILDV,109,建,10,20210121,1",109,建,10,20210121,給付工程款,1286,16,標題,,"202101/臺灣宜蘭地方法院民事/ILDV,109,建,10,20210121,1.json"
202101,臺灣屏東地方法院民事,"PTDV,107,建,26,20210122,2",107,建,26,20210122,給付工程款等,16000,148,標題,,"202101/臺灣屏東地方法院民事/PTDV,107,建,26,20210122,2.json"
202101,臺灣屏東地方法院民事,"PTDV,109,建,13,20210106,1",109,建,13,20210106,給付工程款,8666,101,標題,,"202101/臺灣屏東地方法院民事/PTDV,109,建,13,20210106,1.json"
202101,臺灣屏東地方法院民事,"PTDV,109,建,9,20210114,1",109,建,9,20210114,給付工程款,7740,70,標題,,"202101/臺灣屏東地方法院民事/PTDV,109,建,9,20210114,1.json"
202101,臺灣新北地方法院民事,"PCDV,106,建,92,20210113,1",106,建,92,20210113,給付工程款,59061,320,標題,,"202101/臺灣新北地方法院民事/PCDV,106,建,92,20210113,1.json"
202101,臺灣新北地方法院民事,"PCDV,108,建,64,20210115,14",108,建,64,20210115,給付工程款,33136,359,標題,,"202101/臺灣新北地方法院民事/PCDV,108,建,64,20210115,14.json"
202101,臺灣新北地方法院民事,"PCDV,108,建,91,20210115,10",108,建,91,20210115,侵權行為損害賠償,10938,59,建類碼,,"202101/臺灣新北地方法院民事/PCDV,108,建,91,20210115,10.json"
202101,臺灣新北地方法院民事,"PCDV,108,訴,2666,20210115,1",108,訴,2666,20210115,給付報酬等,17796,52,標題,,"202101/臺灣新北地方法院民事/PCDV,108,訴,2666,20210115,1.json"
202101,臺灣新北地方法院民事,"PCDV,109,建,25,20210129,1",109,建,25,20210129,不當得利,16162,98,建類碼,,"202101/臺灣新北地方法院民事/PCDV,109,建,25,20210129,1.json"
202101,臺灣新北地方法院民事,"PCDV,109,建,62,20210129,1",109,建,62,20210129,給付工程款,3447,17,標題,,"202101/臺灣新北地方法院民事/PCDV,109,建,62,20210129,1.json"
202101,臺灣新北地方法院民事,"PCDV,109,建,69,20210120,1",109,建,69,20210120,債務不履行損害賠償,4629,35,標題,,"202101/臺灣新北地方法院民事/PCDV,109,建,69,20210120,1.json"
202101,臺灣新北地方法院民事,"PCDV,109,訴,1395,20210115,7",109,訴,1395,20210115,給付工程款,36152,133,標題,,"202101/臺灣新北地方法院民事/PCDV,109,訴,1395,20210115,7.json"
202101,臺灣新竹地方法院民事,"SCDV,106,建,50,20210119,1",106,建,50,20210119,給付承攬報酬,33664,233,標題,https://data.judicial.gov.tw/opendl/JDocFile/SCDV/106%2c%e5%bb%ba%2c50%2c20210119%2c1.pdf,"202101/臺灣新竹地方法院民事/SCDV,106,建,50,20210119,1.json"
202101,臺灣新竹地方法院民事,"SCDV,106,訴,592,20210129,5",106,訴,592,20210129,履行契約,26301,11,標題,https://data.judicial.gov.tw/opendl/JDocFile/SCDV/106%2c%e8%a8%b4%2c592%2c20210129%2c5.pdf,"202101/臺灣新竹地方法院民事/SCDV,106,訴,592,20210129,5.json"
202101,臺灣新竹地方法院民事,"SCDV,108,建,68,20210108,1",108,建,68,20210108,給付工程款等,3326,41,標題,https://data.judicial.gov.tw/opendl/JDocFile/SCDV/108%2c%e5%bb%ba%2c68%2c20210108%2c1.pdf,"202101/臺灣新竹地方法院民事/SCDV,108,建,68,20210108,1.json"
202101,臺灣桃園地方法院民事,"TYDV,107,建,49,20210129,1",107,建,49,20210129,返還不當得利等,24938,120,建類碼,,"202101/臺灣桃園地方法院民事/TYDV,107,建,49,20210129,1.json"
202101,臺灣桃園地方法院民事,"TYDV,108,建,6,20210129,1",108,建,6,20210129,返還不當得利,17265,89,建類碼,,"202101/臺灣桃園地方法院民事/TYDV,108,建,6,20210129,1.json"
202101,臺灣桃園地方法院民事,"TYDV,109,建,31,20210108,1",109,建,31,20210108,給付工程款,7677,43,標題,,"202101/臺灣桃園地方法院民事/TYDV,109,建,31,20210108,1.json"
202101,臺灣桃園地方法院民事,"TYDV,109,建,37,20210129,1",109,建,37,20210129,給付工程款,20101,42,標題,,"202101/臺灣桃園地方法院民事/TYDV,109,建,37,20210129,1.json"
202101,臺灣桃園地方法院民事,"TYDV,109,建,41,20210105,1",109,建,41,20210105,給付工程款,2726,17,標題,,"202101/臺灣桃園地方法院民事/TYDV,109,建,41,20210105,1.json"
202101,臺灣橋頭地方法院民事,"CTDV,109,建,7,20210118,1",109,建,7,20210118,返還承攬費用等,12331,38,標題,,"202101/臺灣橋頭地方法院民事/CTDV,109,建,7,20210118,1.json"
202101,臺灣臺中地方法院民事,"TCDV,107,建,69,20210108,1",107,建,69,20210108,給付工程款,8997,61,標題,,"202101/臺灣臺中地方法院民事/TCDV,107,建,69,20210108,1.json"
202101,臺灣臺中地方法院民事,"TCDV,107,建,78,20210118,1",107,建,78,20210118,給付工程款,13351,125,標題,,"202101/臺灣臺中地方法院民事/TCDV,107,建,78,20210118,1.json"
202101,臺灣臺中地方法院民事,"TCDV,108,建,139,20210128,1",108,建,139,20210128,給付工程款,21561,134,標題,,"202101/臺灣臺中地方法院民事/TCDV,108,建,139,20210128,1.json"
202101,臺灣臺中地方法院民事,"TCDV,109,建,110,20210106,1",109,建,110,20210106,給付工程保留款,13348,139,標題,,"202101/臺灣臺中地方法院民事/TCDV,109,建,110,20210106,1.json"
202101,臺灣臺中地方法院民事,"TCDV,109,建,129,20210112,1",109,建,129,20210112,請求不當得利,7637,26,建類碼,,"202101/臺灣臺中地方法院民事/TCDV,109,建,129,20210112,1.json"
202101,臺灣臺中地方法院民事,"TCDV,109,建,20,20210122,1",109,建,20,20210122,給付工程款,4714,42,標題,,"202101/臺灣臺中地方法院民事/TCDV,109,建,20,20210122,1.json"
202101,臺灣臺中地方法院民事,"TCDV,109,建,31,20210129,1",109,建,31,20210129,給付服務費用,12046,42,建類碼,https://data.judicial.gov.tw/opendl/JDocFile/TCDV/109%2c%e5%bb%ba%2c31%2c20210129%2c1.pdf,"202101/臺灣臺中地方法院民事/TCDV,109,建,31,20210129,1.json"
202101,臺灣臺中地方法院民事,"TCDV,109,訴,917,20210107,1",109,訴,917,20210107,給付工程款,7024,83,標題,,"202101/臺灣臺中地方法院民事/TCDV,109,訴,917,20210107,1.json"
202101,臺灣臺中地方法院民事,"TCDV,109,重訴,648,20210128,1",109,重訴,648,20210128,債務不履行損害賠償,10125,3,標題,,"202101/臺灣臺中地方法院民事/TCDV,109,重訴,648,20210128,1.json"
202101,臺灣臺北地方法院民事,"TPDV,105,建,348,20210129,2",105,建,348,20210129,給付工程款,19154,159,標題,https://data.judicial.gov.tw/opendl/JDocFile/TPDV/105%2c%e5%bb%ba%2c348%2c20210129%2c2.pdf,"202101/臺灣臺北地方法院民事/TPDV,105,建,348,20210129,2.json"
202101,臺灣臺北地方法院民事,"TPDV,105,建,422,20210106,2",105,建,422,20210106,給付工程款等,35471,402,標題,https://data.judicial.gov.tw/opendl/JDocFile/TPDV/105%2c%e5%bb%ba%2c422%2c20210106%2c2.pdf,"202101/臺灣臺北地方法院民事/TPDV,105,建,422,20210106,2.json"
202101,臺灣臺北地方法院民事,"TPDV,107,建,263,20210114,2",107,建,263,20210114,給付工程款,10665,76,標題,https://data.judicial.gov.tw/opendl/JDocFile/TPDV/107%2c%e5%bb%ba%2c263%2c20210114%2c2.pdf,"202101/臺灣臺北地方法院民事/TPDV,107,建,263,20210114,2.json"
202101,臺灣臺北地方法院民事,"TPDV,108,建,234,20210121,4",108,建,234,20210121,損害賠償等,9833,54,建類碼,https://data.judicial.gov.tw/opendl/JDocFile/TPDV/108%2c%e5%bb%ba%2c234%2c20210121%2c4.pdf,"202101/臺灣臺北地方法院民事/TPDV,108,建,234,20210121,4.json"
202101,臺灣臺北地方法院民事,"TPDV,108,建,259,20210115,1",108,建,259,20210115,返還溢付工程款,14848,83,標題,https://data.judicial.gov.tw/opendl/JDocFile/TPDV/108%2c%e5%bb%ba%2c259%2c20210115%2c1.pdf,"202101/臺灣臺北地方法院民事/TPDV,108,建,259,20210115,1.json"
202101,臺灣臺北地方法院民事,"TPDV,108,建,399,20210125,1",108,建,399,20210125,給付工程代墊款等,26954,146,標題,https://data.judicial.gov.tw/opendl/JDocFile/TPDV/108%2c%e5%bb%ba%2c399%2c20210125%2c1.pdf,"202101/臺灣臺北地方法院民事/TPDV,108,建,399,20210125,1.json"
202101,臺灣臺北地方法院民事,"TPDV,108,建,412,20210108,1",108,建,412,20210108,給付工程款,6630,41,標題,https://data.judicial.gov.tw/opendl/JDocFile/TPDV/108%2c%e5%bb%ba%2c412%2c20210108%2c1.pdf,"202101/臺灣臺北地方法院民事/TPDV,108,建,412,20210108,1.json"
202101,臺灣臺北地方法院民事,"TPDV,108,建,42,20210129,1",108,建,42,20210129,給付工程款,20038,124,標題,https://data.judicial.gov.tw/opendl/JDocFile/TPDV/108%2c%e5%bb%ba%2c42%2c20210129%2c1.pdf,"202101/臺灣臺北地方法院民事/TPDV,108,建,42,20210129,1.json"
202101,臺灣臺北地方法院民事,"TPDV,108,訴更一,15,20210111,2",108,訴更一,15,20210111,履行契約,11969,1,標題,https://data.judicial.gov.tw/opendl/JDocFile/TPDV/108%2c%e8%a8%b4%e6%9b%b4%e4%b8%80%2c15%2c20210111%2c2.pdf,"202101/臺灣臺北地方法院民事/TPDV,108,訴更一,15,20210111,2.json"
202101,臺灣臺北地方法院民事,"TPDV,108,重訴,231,20210127,1",108,重訴,231,20210127,履行契約,6456,6,標題,https://data.judicial.gov.tw/opendl/JDocFile/TPDV/108%2c%e9%87%8d%e8%a8%b4%2c231%2c20210127%2c1.pdf,"202101/臺灣臺北地方法院民事/TPDV,108,重訴,231,20210127,1.json"
202101,臺灣臺北地方法院民事,"TPDV,109,建,121,20210129,4",109,建,121,20210129,給付工程款等,2799,6,標題,https://data.judicial.gov.tw/opendl/JDocFile/TPDV/109%2c%e5%bb%ba%2c121%2c20210129%2c4.pdf,"202101/臺灣臺北地方法院民事/TPDV,109,建,121,20210129,4.json"
202101,臺灣臺北地方法院民事,"TPDV,109,建,166,20210107,1",109,建,166,20210107,給付工程款,7324,52,標題,https://data.judicial.gov.tw/opendl/JDocFile/TPDV/109%2c%e5%bb%ba%2c166%2c20210107%2c1.pdf,"202101/臺灣臺北地方法院民事/TPDV,109,建,166,20210107,1.json"
202101,臺灣臺北地方法院民事,"TPDV,109,建,183,20210129,1",109,建,183,20210129,給付工程款,3090,15,標題,https://data.judicial.gov.tw/opendl/JDocFile/TPDV/109%2c%e5%bb%ba%2c183%2c20210129%2c1.pdf,"202101/臺灣臺北地方法院民事/TPDV,109,建,183,20210129,1.json"
202101,臺灣臺北地方法院民事,"TPDV,109,建,301,20210115,1",109,建,301,20210115,返還工程款,7970,86,標題,https://data.judicial.gov.tw/opendl/JDocFile/TPDV/109%2c%e5%bb%ba%2c301%2c20210115%2c1.pdf,"202101/臺灣臺北地方法院民事/TPDV,109,建,301,20210115,1.json"
202101,臺灣臺北地方法院民事,"TPDV,109,建,316,20210112,1",109,建,316,20210112,給付工程款等,5968,39,標題,https://data.judicial.gov.tw/opendl/JDocFile/TPDV/109%2c%e5%bb%ba%2c316%2c20210112%2c1.pdf,"202101/臺灣臺北地方法院民事/TPDV,109,建,316,20210112,1.json"
202101,臺灣臺北地方法院民事,"TPDV,109,建,362,20210115,1",109,建,362,20210115,返還不當得利等,3924,11,建類碼,https://data.judicial.gov.tw/opendl/JDocFile/TPDV/109%2c%e5%bb%ba%2c362%2c20210115%2c1.pdf,"202101/臺灣臺北地方法院民事/TPDV,109,建,362,20210115,1.json"
202101,臺灣臺北地方法院民事,"TPDV,109,建,87,20210129,1",109,建,87,20210129,給付工程款,7999,79,標題,https://data.judicial.gov.tw/opendl/JDocFile/TPDV/109%2c%e5%bb%ba%2c87%2c20210129%2c1.pdf,"202101/臺灣臺北地方法院民事/TPDV,109,建,87,20210129,1.json"
202101,臺灣臺北地方法院民事,"TPDV,109,重訴,145,20210129,3",109,重訴,145,20210129,代位請求履約保證金,12273,3,標題,https://data.judicial.gov.tw/opendl/JDocFile/TPDV/109%2c%e9%87%8d%e8%a8%b4%2c145%2c20210129%2c3.pdf,"202101/臺灣臺北地方法院民事/TPDV,109,重訴,145,20210129,3.json"
202101,臺灣臺北地方法院民事,"TPDV,109,重訴,767,20210115,1",109,重訴,767,20210115,履行契約等,7203,2,標題,https://data.judicial.gov.tw/opendl/JDocFile/TPDV/109%2c%e9%87%8d%e8%a8%b4%2c767%2c20210115%2c1.pdf,"202101/臺灣臺北地方法院民事/TPDV,109,重訴,767,20210115,1.json"
202101,臺灣臺南地方法院民事,"TNDV,107,建,16,20210126,3",107,建,16,20210126,給付工程款,21495,176,標題,https://data.judicial.gov.tw/opendl/JDocFile/TNDV/107%2c%e5%bb%ba%2c16%2c20210126%2c3.pdf,"202101/臺灣臺南地方法院民事/TNDV,107,建,16,20210126,3.json"
202101,臺灣臺南地方法院民事,"TNDV,108,建,54,20210114,2",108,建,54,20210114,給付承攬報酬,13107,117,標題,https://data.judicial.gov.tw/opendl/JDocFile/TNDV/108%2c%e5%bb%ba%2c54%2c20210114%2c2.pdf,"202101/臺灣臺南地方法院民事/TNDV,108,建,54,20210114,2.json"
202101,臺灣臺南地方法院民事,"TNDV,108,建,60,20210119,1",108,建,60,20210119,給付工程款,10841,140,標題,https://data.judicial.gov.tw/opendl/JDocFile/TNDV/108%2c%e5%bb%ba%2c60%2c20210119%2c1.pdf,"202101/臺灣臺南地方法院民事/TNDV,108,建,60,20210119,1.json"
202101,臺灣臺南地方法院民事,"TNDV,108,簡上,256,20210114,2",108,簡上,256,20210114,給付工程款,7502,58,標題,https://data.judicial.gov.tw/opendl/JDocFile/TNDV/108%2c%e7%b0%a1%e4%b8%8a%2c256%2c20210114%2c2.pdf,"202101/臺灣臺南地方法院民事/TNDV,108,簡上,256,20210114,2.json"
202101,臺灣臺南地方法院民事,"TNDV,109,建,31,20210121,2",109,建,31,20210121,給付工程款,10533,84,標題,https://data.judicial.gov.tw/opendl/JDocFile/TNDV/109%2c%e5%bb%ba%2c31%2c20210121%2c2.pdf,"202101/臺灣臺南地方法院民事/TNDV,109,建,31,20210121,2.json"
202101,臺灣臺南地方法院民事,"TNDV,109,建,81,20210118,1",109,建,81,20210118,給付工程款,1246,8,標題,https://data.judicial.gov.tw/opendl/JDocFile/TNDV/109%2c%e5%bb%ba%2c81%2c20210118%2c1.pdf,"202101/臺灣臺南地方法院民事/TNDV,109,建,81,20210118,1.json"
202101,臺灣臺南地方法院民事,"TNDV,109,訴,1319,20210107,1",109,訴,1319,20210107,履行契約,6385,8,標題,https://data.judicial.gov.tw/opendl/JDocFile/TNDV/109%2c%e8%a8%b4%2c1319%2c20210107%2c1.pdf,"202101/臺灣臺南地方法院民事/TNDV,109,訴,1319,20210107,1.json"
202101,臺灣花蓮地方法院民事,"HLDV,109,建,8,20210115,1",109,建,8,20210115,返還工程款等,26020,145,標題,,"202101/臺灣花蓮地方法院民事/HLDV,109,建,8,20210115,1.json"
202101,臺灣苗栗地方法院民事,"MLDV,109,建,21,20210128,1",109,建,21,20210128,給付監造服務費用等,23793,131,標題,,"202101/臺灣苗栗地方法院民事/MLDV,109,建,21,20210128,1.json"
202101,臺灣高等法院民事,"TPHV,106,上易,1041,20210127,2",106,上易,1041,20210127,給付報酬,12119,1,標題,https://data.judicial.gov.tw/opendl/JDocFile/TPHV/106%2c%e4%b8%8a%e6%98%93%2c1041%2c20210127%2c2.pdf,"202101/臺灣高等法院民事/TPHV,106,上易,1041,20210127,2.json"
202101,臺灣高等法院民事,"TPHV,107,重上,171,20210112,1",107,重上,171,20210112,給付工程款等,44632,288,標題,https://data.judicial.gov.tw/opendl/JDocFile/TPHV/107%2c%e9%87%8d%e4%b8%8a%2c171%2c20210112%2c1.pdf,"202101/臺灣高等法院民事/TPHV,107,重上,171,20210112,1.json"
202101,臺灣高等法院民事,"TPHV,108,建上,58,20210126,1",108,建上,58,20210126,給付工程款,17893,183,標題,https://data.judicial.gov.tw/opendl/JDocFile/TPHV/108%2c%e5%bb%ba%e4%b8%8a%2c58%2c20210126%2c1.pdf,"202101/臺灣高等法院民事/TPHV,108,建上,58,20210126,1.json"
202101,臺灣高等法院民事,"TPHV,108,建上,69,20210113,1",108,建上,69,20210113,給付工程款,32442,325,標題,https://data.judicial.gov.tw/opendl/JDocFile/TPHV/108%2c%e5%bb%ba%e4%b8%8a%2c69%2c20210113%2c1.pdf,"202101/臺灣高等法院民事/TPHV,108,建上,69,20210113,1.json"
