"file","jid","title","feature","definition","amount_value","amount_text","context"
"CTDV,109,建,7,20210118,1.json","CTDV,109,建,7,20210118,1","返還承攬費用等","issue_acceptance_or_settlement","驗收、結算、估驗","261495","261,495元","形，拆除後下方木作半成品（如木牆、衣 櫃、床頭板、書架），及全屋管路、管線半成品可堪使用之 剩餘價值，參考報價單，依完成百分比結算，經鑑定剩餘價 值為261,495元，細項為a.玄關與餐廳造型牆已完成（如相 片16、17），廚房滑軌推拉門未完成，此項鑑定剩餘價值為 （四.木作第14項）36,250×0.65＝23,563元；"
"CTDV,109,建,7,20210118,1.json","CTDV,109,建,7,20210118,1","返還承攬費用等","issue_additional_or_change_work","追加工程、變更設計","2500","2,500元","並無違約，係原告欲變更設計云云（見建卷第37、51 、163頁），委無可採。 ㈡次查，系爭契約書後附工程預算書第四、5項載明全區木作 平釘天花24坪、每坪2,500元共60,000元（見建卷第47頁） ，核與原告於被告施作完後發覺不符，而表示被告擅自做成 暗架輕鋼架天花板係屬違約等語，有108年3月15日LINE對話"
"CTDV,109,建,7,20210118,1.json","CTDV,109,建,7,20210118,1","返還承攬費用等","issue_additional_or_change_work","追加工程、變更設計","60000","60,000元","告欲變更設計云云（見建卷第37、51 、163頁），委無可採。 ㈡次查，系爭契約書後附工程預算書第四、5項載明全區木作 平釘天花24坪、每坪2,500元共60,000元（見建卷第47頁） ，核與原告於被告施作完後發覺不符，而表示被告擅自做成 暗架輕鋼架天花板係屬違約等語，有108年3月15日LINE對話 紀錄可憑（見"
"CTDV,109,建,7,20210118,1.json","CTDV,109,建,7,20210118,1","返還承攬費用等","issue_appraisal","鑑定金額或估價","7625","7625元","（四.木作第14項）36,250×0.65＝23,563元；b.臥室A書桌 未完成（如相片18），此項鑑定剩餘價值（四.木作工程第15項）為15,250×0.5＝7625元；c.臥室A床頭上掀櫃未完成 （如相片21），此項鑑定剩餘價值（四.木作第16項）為23000×0.5＝11,500元；d.臥室A床頭吊櫃未完成（如相片18）"
"CTDV,109,建,7,20210118,1.json","CTDV,109,建,7,20210118,1","返還承攬費用等","issue_appraisal","鑑定金額或估價","8960","8,960元","18項）為48,300×0.9＝43,470元；f.臥室A床架未完成（如相片21、22） ，此項鑑定剩餘價值為（四.木作工程第19項）11,200元×0 .8＝8,960元；g.主臥室隱藏門片牆已完成（如相片54）， 尚未油漆，此項鑑定剩餘價值（四.木作工程第20項）為36,750×0.8＝29,400元；h.主臥室床頭板已完成（如相片23"
"CTDV,109,建,7,20210118,1.json","CTDV,109,建,7,20210118,1","返還承攬費用等","issue_appraisal","鑑定金額或估價","11200","11,200元","），此項鑑定剩餘價值（四.木作工程第18項）為48,300×0.9＝43,470元；f.臥室A床架未完成（如相片21、22） ，此項鑑定剩餘價值為（四.木作工程第19項）11,200元×0 .8＝8,960元；g.主臥室隱藏門片牆已完成（如相片54）， 尚未油漆，此項鑑定剩餘價值（四.木作工程第20項）為36,750×0.8＝29,400元；"
"CTDV,109,建,7,20210118,1.json","CTDV,109,建,7,20210118,1","返還承攬費用等","issue_appraisal","鑑定金額或估價","11500","11,500元","剩餘價值（四.木作工程第15項）為15,250×0.5＝7625元；c.臥室A床頭上掀櫃未完成 （如相片21），此項鑑定剩餘價值（四.木作第16項）為23000×0.5＝11,500元；d.臥室A床頭吊櫃未完成（如相片18） ，此項鑑定剩餘價值（四.木作工程第17項）為28,000×0.6 ＝16,800元；e.臥室A衣櫃旋轉式更衣鏡未完成（"
"CTDV,109,建,7,20210118,1.json","CTDV,109,建,7,20210118,1","返還承攬費用等","issue_appraisal","鑑定金額或估價","14400","14,400元","項）為36,750×0.8＝29,400元；h.主臥室床頭板已完成（如相片23） ，尚未油漆，此項鑑定剩餘價值（四.木作工程第21項）為 18,000×0.8＝14,400元；i.冷氣吊隱式室內機含配管配線 已完成，室外機及室內出風口未裝設（如相片26、27、31） 此項鑑定剩餘價值（二.冷氣工程合計）為119,700×0.65＝"
"CTDV,109,建,7,20210118,1.json","CTDV,109,建,7,20210118,1","返還承攬費用等","issue_appraisal","鑑定金額或估價","16800","16,800元","木作第16項）為23000×0.5＝11,500元；d.臥室A床頭吊櫃未完成（如相片18） ，此項鑑定剩餘價值（四.木作工程第17項）為28,000×0.6 ＝16,800元；e.臥室A衣櫃旋轉式更衣鏡未完成（如相片19 、20），此項鑑定剩餘價值（四.木作工程第18項）為48,300×0.9＝43,470元；f.臥室A床架未完成（如相片21"
"CTDV,109,建,7,20210118,1.json","CTDV,109,建,7,20210118,1","返還承攬費用等","issue_appraisal","鑑定金額或估價","18428","18,428元","防火門及配電箱 蓋之玄關及餐廳造型牆，須一併拆除，拆除後剩餘工程價值 僅237,932元。扣除如附表所示經鑑定之修復、清運費用153,757元（34,454元＋18,428元＋35,400元＋27,500元＋37,975元＝153,757元），剩餘84,175元（237,932元－153,757元＝84,175元），加計8%監工費，被告僅得請求90,9"
"CTDV,109,建,7,20210118,1.json","CTDV,109,建,7,20210118,1","返還承攬費用等","issue_appraisal","鑑定金額或估價","23563","23,563元","拆除後，因建物內玄關、餐廳 造型牆、主臥室隱藏門片牆、系爭A次臥室衣櫃等均失去支 撐，衣櫃門片亦變形，拆除後按完工比例經鑑定價值為261,495元，及經鑑定價值23,563元、包覆廚房防火門及配電箱 蓋之玄關及餐廳造型牆，須一併拆除，拆除後剩餘工程價值 僅237,932元。扣除如附表所示經鑑定之修復、清運費用153,757元（34,"
"CTDV,109,建,7,20210118,1.json","CTDV,109,建,7,20210118,1","返還承攬費用等","issue_appraisal","鑑定金額或估價","27500","27,500元","關及餐廳造型牆，須一併拆除，拆除後剩餘工程價值 僅237,932元。扣除如附表所示經鑑定之修復、清運費用153,757元（34,454元＋18,428元＋35,400元＋27,500元＋37,975元＝153,757元），剩餘84,175元（237,932元－153,757元＝84,175元），加計8%監工費，被告僅得請求90,909元工 程款（84,"
"CTDV,109,建,7,20210118,1.json","CTDV,109,建,7,20210118,1","返還承攬費用等","issue_appraisal","鑑定金額或估價","27972","27,972元","部 錯位必須重新施工，造型牆，書桌，床頭吊櫃，床頭板等配 線可延用（如相片23、25）此項鑑定剩餘價值（三.水電工 程合計）為139,860×0.2＝27,972元；總計剩餘價值為261,495元（23,563＋7,625＋11,500＋16,800＋43,470＋8,960 ＋29,400＋14,400＋77,805＋27,972"
"CTDV,109,建,7,20210118,1.json","CTDV,109,建,7,20210118,1","返還承攬費用等","issue_appraisal","鑑定金額或估價","29400","29,400元","）11,200元×0 .8＝8,960元；g.主臥室隱藏門片牆已完成（如相片54）， 尚未油漆，此項鑑定剩餘價值（四.木作工程第20項）為36,750×0.8＝29,400元；h.主臥室床頭板已完成（如相片23） ，尚未油漆，此項鑑定剩餘價值（四.木作工程第21項）為 18,000×0.8＝14,400元；i.冷氣吊隱式室內機含配管"
"CTDV,109,建,7,20210118,1.json","CTDV,109,建,7,20210118,1","返還承攬費用等","issue_appraisal","鑑定金額或估價","34454","34,454元","63元、包覆廚房防火門及配電箱 蓋之玄關及餐廳造型牆，須一併拆除，拆除後剩餘工程價值 僅237,932元。扣除如附表所示經鑑定之修復、清運費用153,757元（34,454元＋18,428元＋35,400元＋27,500元＋37,975元＝153,757元），剩餘84,175元（237,932元－153,757元＝84,175元），加計8%監工費，被告"
"CTDV,109,建,7,20210118,1.json","CTDV,109,建,7,20210118,1","返還承攬費用等","issue_appraisal","鑑定金額或估價","35400","35,400元","蓋之玄關及餐廳造型牆，須一併拆除，拆除後剩餘工程價值 僅237,932元。扣除如附表所示經鑑定之修復、清運費用153,757元（34,454元＋18,428元＋35,400元＋27,500元＋37,975元＝153,757元），剩餘84,175元（237,932元－153,757元＝84,175元），加計8%監工費，被告僅得請求90,909元工"
"CTDV,109,建,7,20210118,1.json","CTDV,109,建,7,20210118,1","返還承攬費用等","issue_appraisal","鑑定金額或估價","37975","37,975元","須一併拆除，拆除後剩餘工程價值 僅237,932元。扣除如附表所示經鑑定之修復、清運費用153,757元（34,454元＋18,428元＋35,400元＋27,500元＋37,975元＝153,757元），剩餘84,175元（237,932元－153,757元＝84,175元），加計8%監工費，被告僅得請求90,909元工 程款（84,175元×1.0"
"CTDV,109,建,7,20210118,1.json","CTDV,109,建,7,20210118,1","返還承攬費用等","issue_appraisal","鑑定金額或估價","43470","43,470元","28,000×0.6 ＝16,800元；e.臥室A衣櫃旋轉式更衣鏡未完成（如相片19 、20），此項鑑定剩餘價值（四.木作工程第18項）為48,300×0.9＝43,470元；f.臥室A床架未完成（如相片21、22） ，此項鑑定剩餘價值為（四.木作工程第19項）11,200元×0 .8＝8,960元；g.主臥室隱藏門片牆已完成（如相"
