target,n_rows,positive,negative,cv,tpot_best_balanced_accuracy,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,final_estimator,pipeline,status
issue_payment,26,26,0,,,,,,,skipped_single_class
issue_additional_or_change_work,26,21,5,3.0,0.8095238095238096,0.6666666666666666,0.11785113019775792,AdaBoostClassifier,"Pipeline(steps=[('passthrough', Passthrough()),
                ('selectpercentile',
                 SelectPercentile(percentile=24.1691612339961)),
                ('featureunion-1',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('featureunion-2',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('adaboostclassifier',
                 AdaBoostClassifier(learning_rate=0.6184852890321,
                                    n_estimators=363, random_state=42))])",ok
issue_acceptance_or_settlement,26,22,4,3.0,0.7023809523809524,0.6577380952380952,0.2739712255444061,AdaBoostClassifier,"Pipeline(steps=[('minmaxscaler', MinMaxScaler()),
                ('selectpercentile',
                 SelectPercentile(percentile=73.270195074755)),
                ('featureunion-1',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('featureunion-2',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('adaboostclassifier',
                 AdaBoostClassifier(learning_rate=0.0693372585296,
                                    n_estimators=177, random_state=42))])",ok
issue_delay_or_penalty,26,21,5,3.0,0.5357142857142857,0.5357142857142857,0.16235930591649828,AdaBoostClassifier,"Pipeline(steps=[('minmaxscaler', MinMaxScaler()),
                ('selectpercentile',
                 SelectPercentile(percentile=73.270195074755)),
                ('featureunion-1',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('featureunion-2',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('adaboostclassifier',
                 AdaBoostClassifier(learning_rate=0.0693372585296,
                                    n_estimators=177, random_state=42))])",ok
issue_defect_or_repair,26,14,12,3.0,0.7833333333333333,0.6749999999999999,0.16708281379802853,MLPClassifier,"Pipeline(steps=[('normalizer', Normalizer(norm=np.str_('max'))),
                ('selectpercentile',
                 SelectPercentile(percentile=43.7092998870266)),
                ('featureunion-1',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('featureunion-2',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('mlpclassifier',
                 MLPClassifier(activation=np.str_('identity'),
                               alpha=0.0179535539978, early_stopping=np.False_,
                               hidden_layer_sizes=[439, 439, 439],
                               learning_rate=np.str_('constant'),
                               learning_rate_init=0.0558851230308,
                               n_iter_no_change=32, random_state=42))])",ok
issue_retention_or_warranty,26,10,16,3.0,0.5527777777777777,0.6972222222222223,0.03747427100897789,AdaBoostClassifier,"Pipeline(steps=[('minmaxscaler', MinMaxScaler()),
                ('selectpercentile',
                 SelectPercentile(percentile=73.270195074755)),
                ('featureunion-1',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('featureunion-2',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('adaboostclassifier',
                 AdaBoostClassifier(learning_rate=0.0693372585296,
                                    n_estimators=177, random_state=42))])",ok
issue_setoff_or_deduction,26,10,16,3.0,0.6138888888888889,0.5861111111111111,0.11986360561328567,AdaBoostClassifier,"Pipeline(steps=[('minmaxscaler', MinMaxScaler()),
                ('passthrough', Passthrough()),
                ('featureunion-1',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('featureunion-2',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('adaboostclassifier',
                 AdaBoostClassifier(learning_rate=0.1325640114287,
                                    n_estimators=177, random_state=42))])",ok
issue_termination,26,13,13,3.0,0.6166666666666667,0.5333333333333333,0.1230401921686117,AdaBoostClassifier,"Pipeline(steps=[('passthrough', Passthrough()),
                ('selectpercentile',
                 SelectPercentile(percentile=24.1691612339961)),
                ('featureunion-1',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('featureunion-2',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('adaboostclassifier',
                 AdaBoostClassifier(learning_rate=0.6184852890321,
                                    n_estimators=363, random_state=42))])",ok
issue_unjust_enrichment,26,7,19,3.0,0.6468253968253969,0.6428571428571429,0.15152288168283162,AdaBoostClassifier,"Pipeline(steps=[('minmaxscaler', MinMaxScaler()),
                ('selectpercentile',
                 SelectPercentile(percentile=73.270195074755)),
                ('featureunion-1',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('featureunion-2',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('adaboostclassifier',
                 AdaBoostClassifier(learning_rate=0.0693372585296,
                                    n_estimators=177, random_state=42))])",ok
issue_public_procurement,26,10,16,3.0,0.5,0.5,0.0,RandomForestClassifier,"Pipeline(steps=[('robustscaler',
                 RobustScaler(quantile_range=(0.139906572611,
                                              0.7147270294414))),
                ('selectpercentile',
                 SelectPercentile(percentile=66.6743700054632)),
                ('featureunion-1',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('featureunion-2',
                 FeatureUnion(transformer_list=[('skiptransformer',
                                                 SkipTransformer()),
                                                ('passthrough',
                                                 Passthrough())])),
                ('randomforestclassifier',
                 RandomForestClassifier(bootstrap=np.True_,
                                        criterion=np.str_('gini'),
                                        max_features=0.0577679950302,
                                        min_samples_leaf=20,
                                        min_samples_split=6, n_estimators=128,
                                        n_jobs=1, random_state=42))])",ok
