model,feature,mean,std,coefficient_scaled,direction
ridge_regression_l2,intercept,,,0.68215645,准許比例同向
ridge_regression_l2,x_log_contract_price,16.39756482,3.82790186,-0.02539305,酌減比例同向
ridge_regression_l2,x_log_claimed_penalty,16.39224472,1.64675437,-0.07504953,酌減比例同向
ridge_regression_l2,x_claim_to_contract_ratio,1267.90164358,10042.22964434,-0.02507399,酌減比例同向
ridge_regression_l2,x_delay_days,210.078125,236.50061474,-0.07527681,酌減比例同向
ridge_regression_l2,x_penalty_per_delay_day,676898.29440152,1341789.57624059,-0.00572137,酌減比例同向
ridge_regression_l2,x_issue_owner_fault,0.875,0.33071891,0.03730146,准許比例同向
ridge_regression_l2,x_issue_contractor_fault,0.921875,0.26836819,0.00436558,准許比例同向
ridge_regression_l2,x_issue_extension_request,0.875,0.33071891,-0.04027362,酌減比例同向
ridge_regression_l2,x_issue_actual_damage_unclear,0.796875,0.40232479,0.01886861,准許比例同向
ridge_regression_l2,x_issue_partial_completion,1.0,1.0,0.0,接近零
ridge_regression_l2,x_issue_used_by_owner,0.5,0.5,-0.03374242,酌減比例同向
ridge_regression_l2,x_ai_issue_owner_fault,0.875,0.33071891,0.03730146,准許比例同向
ridge_regression_l2,x_ai_issue_contractor_fault,0.921875,0.26836819,0.00436558,准許比例同向
ridge_regression_l2,x_ai_issue_extension_request,0.875,0.33071891,-0.04027362,酌減比例同向
ridge_regression_l2,x_ai_issue_actual_damage_unclear,0.796875,0.40232479,0.01886861,准許比例同向
ridge_regression_l2,x_ai_issue_partial_completion,1.0,1.0,0.0,接近零
ridge_regression_l2,x_ai_issue_used_by_owner,0.5,0.5,-0.03374242,酌減比例同向
ridge_regression_l2,x_money_candidate_count,30.28125,6.11726233,0.06810017,准許比例同向
ridge_regression_l2,x_delay_candidate_count,11.984375,0.12401959,0.0297742,准許比例同向
lasso_regression_l1,intercept,,,0.68215645,准許比例同向
lasso_regression_l1,x_log_contract_price,16.39756482,3.82790186,-0.00426056,酌減比例同向
lasso_regression_l1,x_log_claimed_penalty,16.39224472,1.64675437,-0.07889866,酌減比例同向
lasso_regression_l1,x_claim_to_contract_ratio,1267.90164358,10042.22964434,-0.00707066,酌減比例同向
lasso_regression_l1,x_delay_days,210.078125,236.50061474,-0.06397669,酌減比例同向
lasso_regression_l1,x_penalty_per_delay_day,676898.29440152,1341789.57624059,0.0,接近零
lasso_regression_l1,x_issue_owner_fault,0.875,0.33071891,0.02238014,准許比例同向
lasso_regression_l1,x_issue_contractor_fault,0.921875,0.26836819,0.0,接近零
lasso_regression_l1,x_issue_extension_request,0.875,0.33071891,-0.03053258,酌減比例同向
lasso_regression_l1,x_issue_actual_damage_unclear,0.796875,0.40232479,0.01000935,准許比例同向
lasso_regression_l1,x_issue_partial_completion,1.0,1.0,0.0,接近零
lasso_regression_l1,x_issue_used_by_owner,0.5,0.5,-0.02477562,酌減比例同向
lasso_regression_l1,x_ai_issue_owner_fault,0.875,0.33071891,0.02238014,准許比例同向
lasso_regression_l1,x_ai_issue_contractor_fault,0.921875,0.26836819,0.0,接近零
lasso_regression_l1,x_ai_issue_extension_request,0.875,0.33071891,-0.03053258,酌減比例同向
lasso_regression_l1,x_ai_issue_actual_damage_unclear,0.796875,0.40232479,0.01000935,准許比例同向
lasso_regression_l1,x_ai_issue_partial_completion,1.0,1.0,0.0,接近零
lasso_regression_l1,x_ai_issue_used_by_owner,0.5,0.5,-0.02477562,酌減比例同向
lasso_regression_l1,x_money_candidate_count,30.28125,6.11726233,0.0476805,准許比例同向
lasso_regression_l1,x_delay_candidate_count,11.984375,0.12401959,0.02679933,准許比例同向
