"JID","annotation_priority","contract_price_selected","contract_score","delay_days_selected","delay_score","claimed_penalty_selected","claimed_score","allowed_penalty_selected","allowed_score","is_reduced","ratio_valid"
"CYDV,109,建,4,20230109,3","","17440853","20","7","13","3487008","21","3487008","27","0","1"
"KSDV,106,建,34,20231226,2","","314044876","20","200","12","78878862","15","26213286","27","1","1"
"PCDV,107,建,2,20211221,1","","28892899","5","262","12","4057057","21","1400893","22","1","1"
"TCHV,108,建上,22,20210421,1","","246","20","218","13","19920000","7","10433610","22","1","1"
"HLHV,109,建上,6,20220413,1","","1852588","20","178","7","7057320","21","5909864","27","1","1"
"ULDV,113,建,3,20250620,2","","27582680","0","668","18","94750","21","27576","27","1","1"
"PCDV,109,建,93,20220412,1","","3110410","20","690","6","17950675","21","7202339","22","1","1"
"TPHV,111,建上,4,20230412,2","","342876","20","94","18","4054624","21","669926","27","1","1"
"CYDV,107,建,13,20230921,2","","52507589","5","29","7","13348403","21","3348403","27","1","1"
"TPHV,107,建上,38,20230221,1","","88548712","20","26","13","37709742","21","37709742","27","0","1"
"TCHV,110,建上,69,20220621,1","","4393226","12","420","12","4393226","15","3798717","27","1","1"
"TPHV,113,重上,4,20260429,1","","513965000","20","570","12","14000000","21","14000000","27","0","1"
"TPDV,113,建,253,20251022,1","","90474137","20","19","7","41590398","21","29514136","19","1","1"
"TCDV,112,建,14,20250122,1","","579337881","20","229","18","149063636","15","115867576","27","1","1"
"TPDV,107,建,379,20211125,1","","73400000","20","45","18","3419568","21","3419568","27","0","1"
"TCDV,110,建,70,20251128,1","","45388","12","30","7","453879280","21","453879280","27","0","1"
"TPDV,107,建,232,20230630,6","","82956632","5","4","13","820574","21","820574","27","0","1"
"CHDV,107,建,30,20211222,1","","2666225773","20","307","12","818531312","21","34293685","27","1","1"
"TYDV,109,建,32,20220408,1","","31210005","20","160","18","5072569","21","5072569","27","0","1"
"TPHV,108,建上,80,20210519,3","","89935478","20","28","6","89935478","21","89935478","22","0","1"
"TPHV,109,建上,50,20230117,1","","75418880","20","16","18","75418880","21","74215680","27","1","1"
"CHDV,111,建,48,20250619,1","","82590623","20","10","12","92930001","15","15840001","27","1","1"
"TCHV,108,建上更一,25,20220614,1","","4396823","0","44","12","99927796","21","2990007","27","1","1"
