JID,decision_year,month,court,JTITLE,json_file,matched_first_layer_terms,matched_strong_reduction_terms,relevance_score,penalty_snippet,delay_snippet,reduction_snippet
"CYDV,109,建,4,20230109,3",2023,202301,臺灣嘉義地方法院民事,給付工程款,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202301/臺灣嘉義地方法院民事/CYDV,109,建,4,20230109,3.json",工期;完工期限;展延;展期;逾期;逾期違約金;違約金;遲延,民法第252條;民法第二百五十二條;酌減;第252條;過高,1576,"素，經被告核定展延 32天之工期，是展延後之預定完工日為104年12月24日【原 證4，第2次變更設計工期計算表】。 (三)被告認定系爭工程之實際竣工日為106年9月26日【原證5， 工程驗收結算驗收證明書】，認創唯公司履約遲延逾期642 天，遂依系爭工程契約第17條第4項約定，計罰至契約價金 總額20%之違約金上限，共計3,487,008元【計算式：17,435 ,039×20%＝3,487,008】，此部分金額被告已自創唯公司結算 後可得領取之系爭工程尾款中扣抵【原證6，被告開立之罰 款收據】。 (四)然而，系爭工程履約期間因發生「全熱交換器變更設計」、 「TAB測試因被告要求及既有設備更換致生遲延」、「性能",證3，工程結算書】。 (二)依系爭工程契約第7條「履約期限」第1項第1款約定，系爭 工程於104年5月7日開工，預定完工日期為104年11月22日【 註：原證2的工程合約書第7條所記載預計竣工日期為104年1 1月19日、原證6的工程結算驗收證明書也記載預定竣工日期 為104年11月19日；但另原證4的第2次變更設計工期計算表 ，則記載原合約書完工期限為104年11月22日】。嗣因第二 次契約變更事宜、天候及校長遴選等因素，經被告核定展延 32天之工期，是展延後之預定完工日為104年12月24日【原 證4，第2次變更設計工期計算表】。 (三)被告認定系爭工程之實際竣工日為106年9月26日【原證5， 工程驗收結算驗收證明書,"額為1,363,830元、「TAB測試 」結算金額為45,958元，以上開兩項未完成施作工項之契約 價金計算，每日逾期違約金應僅為4,229元【計算式：(1,36 3,830＋45,958)×3‰＝4,229】。 四、原告既已完成系爭工程全部工項，且被告已實際開始使用， 顯見被告受有遲延損害甚微，故系爭逾期違約金顯然過高， 故原告依民法第251條、第252等規定，懇請鈞院為違約金之 酌減，以維原告權益。 (一)本案逾期違約金性質為「損害賠償額預定性違約金」，依「 無損害即無賠償」之原則，被告並未舉證其因創唯公司之逾 期「受有損害」，依法自不得扣罰逾期違約金3,487,008元 。 １、按，系爭工程契約第17條第(四)項約"
"KSDV,106,建,34,20231226,2",2023,202312,臺灣高雄地方法院民事,給付逾期違約金,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202312/臺灣高雄地方法院民事/KSDV,106,建,34,20231226,2.json",工期;完工期限;展延;逾期;逾期違約金;違約金;遲延,民法第252條;酌減;第252條;過高,950,交通運輸股份有限公司台灣分公司) 法定代理人 Jarior Matinez Ojinaga (賈安德) 訴訟代理人 范素玲 陳昶安律師 黃祈綾律師 被 告 長鴻營造股份有限公司 法定代理人 吳啟章 訴訟代理人 謝昆峯律師 上列當事人間請求給付逾期違約金事件，本院於民國112年9月26 日言詞辯論終結，判決如下： 主 文 一、原告之訴及假執行之聲請均駁回。 二、訴訟費用原告負擔。 事實及理由 壹、程序部分： 一、按當事人喪失訴訟能力或法定代理人死亡或其代理權消滅者 ，訴訟程序在有法定代理人或取得訴訟能力之本人，承受其 訴訟以前當然停止；承受訴訟人，,交通運輸股份有限公司台灣分公司) 法定代理人 Jarior Matinez Ojinaga (賈安德) 訴訟代理人 范素玲 陳昶安律師 黃祈綾律師 被 告 長鴻營造股份有限公司 法定代理人 吳啟章 訴訟代理人 謝昆峯律師 上列當事人間請求給付逾期違約金事件，本院於民國112年9月26 日言詞辯論終結，判決如下： 主 文 一、原告之訴及假執行之聲請均駁回。 二、訴訟費用原告負擔。 事實及理由 壹、程序部分： 一、按當事人喪失訴訟能力或法定代理人死亡或其代理權消滅者 ，訴訟程序在有法定代理人或取得訴訟能力之本人，承受其 訴訟以前當然停止；承受訴,"期違約金，被告均無任何工程 款之實質收入，期間仍提早達成最後施工里程碑，並完成原 告之分段通車目標。準此，考量上情，倘依鑑定報告結論仍 認本件逾期違約金應為1億6,278萬9,606元(計算式：128,74 6,347＋34,043,259＝162,789,606元)，對被告實嫌過苛，難 符契約正義，請求予以酌減違約金等語置辯，並聲明：㈠原 告之訴及假執行之聲請均駁回。㈡如受不利判決，願供擔保 ，請准免為假執行之宣告。 ㈡、長鴻公司則以：伊與卡夫公司共同承攬系爭工程，兩造於102 年1月30日簽訂系爭契約。嗣原告通知被告於102年2月18日 開始辦理系爭工程，並於系爭契約第7條履約期限約定施工 里程碑。詎原告於10"
"PCDV,107,建,2,20211221,1",2021,202112,臺灣新北地方法院民事,給付工程款等,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202112/臺灣新北地方法院民事/PCDV,107,建,2,20211221,1.json",工期;完工期限;展延;逾期;逾期違約金;違約金;遲延,過高,710,"再以爭議或訴訟方式辦理。 ②結論：鑑定報告認定合理單價7,086元/m2並無違誤，被 告應就其本項逕行核定單價4,140元/m2與合理單價之價 差2,946元/m2給付差額。 （四）訴之聲明第二項部分： 1、被告以逾期完成系爭工程之施作及於驗收時未如期完成改 善為由，計罰原告逾期懲罰性違約金1,165萬3,222元部分 為無理由，應返還（給付）該部分之工程款： (1)逾期爭議部分：經鑑定遲延262日，但認定於其非屬歸責 原告事由，且應合理延展278至293日。被告未合理延展工 期，而以「免計工期」之作法與契約約定及工程實務不合 。本件原告無遲延責任。 (2)被告主張逾期完成",然 系爭工程施作期間，被告多有指示變更，但其程序卻異常 延滯，導致原告均僅得依據監造單位指示辦理（新增工項 等），殊料直到驗收完成後，被告均未完成變更程序，而 係於工程結算時始同步完成變更，並以其片面變更，而未 經議價且未按實作計算數量之標準片面結算，故而衍生計 價（含量）與工期之爭議。先整理爭議梗概如下： (1)契約變更爭議（訴之聲明一），包括： ①原契約範圍內施作，但逕遭減價或嗣經被告指示廢棄拆 除部分（片面變更減項施作或減價）。原告主張，應依 雙方簽訂之原契約單價給付工程款。此部分係依據原契 約之承攬報酬請求權為主張。 ②原契約範圍外施作,"等，第三方公 正鑑定機關之鑑定報告(鑑定報告第I頁鑑定結論(五)及第 26～28頁、鑑定報告第VIII頁鑑定結論(十一)及第60～62頁 )已有充分釐清說明。 (2)懸臂段支撐構造：有關被告「辯論意旨狀」第21頁「(二) 」內容以片段不完整之內容主張鑑定合理單價35,000元/m 過高不合理。第三方公正鑑定機關之鑑定報告(鑑定報告 第V～VI頁鑑定結論(八)-7及第50～52、54頁)已有充分釐清 說明。故被告「辯論意旨狀」第21頁「(二)2(2)」所述「 ……價差達11.2%.……懸臂段支撐構造之單價……未因應調整…… 」顯完全為其推託之詞，欲以片段資訊達其推諉之目的。"
"TCHV,108,建上,22,20210421,1",2021,202104,臺灣高等法院臺中分院民事,給付工程款等,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202104/臺灣高等法院臺中分院民事/TCHV,108,建上,22,20210421,1.json",工期;完工期限;展延;展期;逾期;逾期違約金;違約金;遲延,民法第252條;酌減;第252條;過高,698,，雖逾越契約預訂完工期限達218日，然係因在系爭工程履 約期間，發生如附表一所示不可歸責於協信公司之事由，致 施工進度落後，故協信公司應得再辦理工期展延555.5日， 實未逾期完工。惟臺中港務公司不同意協信公司展延工期之 申請，竟以協信公司逾越契約預訂完工期限達218日，而依 系爭契約第16條之規定計算逾期違約金數額高達1億5936萬 元（即系爭契約總價之20%上限），並自其應給付協信公司 之工程款中予以扣除，要屬無據，應予返還。縱令協信公司 有逾期，因系爭契約第16條逾期違約金性質，屬損害賠償預 定性違約金，然臺中港務公司實際上並未因此受有任何損害 ，應予以酌減違約金至零，或以鑑定機關台灣省土木技師公 會,、實體方面： 壹、上訴人協信營造有限公司（下稱協信公司）主張： 兩造於102年7月2日就臺中港000號碼頭新建工程（下稱系爭 工程）採購案簽訂工程採購契約（採購案號：THB-00000-00 0，下稱系爭契約），由協信公司承攬系爭工程，契約總價 新臺幣（下同）7億9680萬元。系爭工程於同年月6日開工， 原預定工期為750日（日曆天），履約期間曾經臺中港務公 司核准同意展延工期57日，故展延57日後之預定完工日期為 104年9月20日。嗣系爭工程之實際竣工日期為105年4月25日 ，雖逾越契約預訂完工期限達218日，然係因在系爭工程履 約期間，發生如附表一所示不可歸責於協信公司之事由，致 施工進度落後，故協信公司應得再,8日，而依 系爭契約第16條之規定計算逾期違約金數額高達1億5936萬 元（即系爭契約總價之20%上限），並自其應給付協信公司 之工程款中予以扣除，要屬無據，應予返還。縱令協信公司 有逾期，因系爭契約第16條逾期違約金性質，屬損害賠償預 定性違約金，然臺中港務公司實際上並未因此受有任何損害 ，應予以酌減違約金至零，或以鑑定機關台灣省土木技師公 會（下稱土木技師公會）之鑑定報告認定僅逾期25日，參酌 000號碼頭原本之規劃係於105年間使用，該逾期對於臺中港 務公司尚無影響；且000號碼頭第一次停靠之船舶，係105年 9月間協信公司關聯企業之船舶，足見其未有急迫性之公共 利益，故逾期違約金應酌減至5分之1即4
"HLHV,109,建上,6,20220413,1",2022,202204,臺灣高等法院花蓮分院民事,給付違約金等,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202204/臺灣高等法院花蓮分院民事/HLHV,109,建上,6,20220413,1.json",工期;展延;逾期;逾期違約金;違約金;遲延,民法第252條;酌減;第252條;過高,619,"臺灣高等法院花蓮分院民事判決 109年度建上字第6號 上 訴 人 即被上訴人 國立臺東大學 法定代理人 曾耀銘 訴訟代理人 張凱翔律師 林麗珍律師 複代理人 陳冠甫律師 被上訴人即 上 訴 人 柯竹華即伍勝室內裝修工程實業社 訴訟代理人 柯清山 上列當事人間請求給付違約金等事件，兩造對於中華民國109年8 月28日臺灣臺東地方法院107年度建字第14號第一審判決，各自 提起上訴，本院於民國111年1月20日言詞辯論終結，判決如下： 主 文 一、原判決關於命柯竹華即伍勝室內裝修工程實業社給付國立臺 東大學超過新臺幣585,221元本息部分，暨訴訟費用之裁判 均廢棄。 二、上開廢棄部分，國","之總價為33,253,360元，約定於103年2月13日開 工，應於開工之日起120日曆天內竣工，原定完工日期為10 3年6月12日，因工程變更設計中「電算中心鋁格柵圍幕」 、「指標系統F」、「N28流通櫃檯」、「1F-17系統櫃」、 「N14檢索站燈箱」等項工作影響進度較大，伊同意該等工 項完工日展延至103年7月15日，其餘工項則展延至103年7 月4日，嗣伍勝實業社於103年7月4日申報竣工，惟經監造 單位境向聯合建築師事務所（下稱境向事務所）查證後有 部分工項未完成，伍勝實業社復於103年7月24日再次申報 竣工，仍因系爭工程有逾期未完成履約、缺失未改善及辦 理減價收受等情事，經辦理三次驗",103年12月29日屆 至106年12月28日止，且臺東大學亦於105年7月5日簽認本 案工程確已完成「全面性保固」維修修繕表，伊之保固責 任已了，臺東大學本項請求之依據已不復存在。 (六)臺東大學委託監造單位所設計弧形檢索桌之「形狀樣式」 於承攬期間僅一家供應商獨有，且其出售價格超出契約預 算過高，臺東大學亦曾明確告知並無補編預算之意願，伊 所施作之完成品除外觀上之形狀樣式未合於監造單位主觀 意想，其他規格皆符合契約條件，其功能效益完備，且品 質及安全皆無疑慮，然該工項於103年8月13日初驗後任伊 如何配合改正細修，終未獲監造單位認同，直至同年12月2 9日，伊因有資金需求壓力，為順利取得
"ULDV,113,建,3,20250620,2",2025,202506,臺灣雲林地方法院民事,給付工程款,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202506/臺灣雲林地方法院民事/ULDV,113,建,3,20250620,2.json",工期;完工期限;展延;展期;逾期;逾期違約金;違約金;遲延,民法第252條;酌減;第252條;過高,610,"更設計核可展延 工期11日曆天；第二次變更設計核可不計工期74日曆天，及 展延工期83日曆天；第三次變更設計延誤之工期及追加部分 卻不為核可與否之認定，工程變更設計係可歸責於被告之事 由，卻將增加及延誤工期之不利益歸由原告承擔，顯非公平 ，被告就原告之處罰實屬不當，自應依民法不當得利之規定 返還原告違約金罰款551萬5,288元。退而言之，被告依系爭 契約第17條第4項之約定，以契約價金20％為上限處以原告逾 期違約金以551萬5,288元，顯非合理，違反比例原則，請鈞 院依民法第252條之規定予以酌減。 ㈧就被告主張營造保險逾期40天應予扣罰1,893元一節，原告不 爭執。 ㈨就被告扣留水電申請之款項9萬4,","契約書（下稱系爭契約），契約總價新臺幣（下同）2,34 0萬元，依系爭契約第7條約定原告應於機關通知日起10日開 工，履約期限280日曆天。 ㈡被告於107年5月18日通知開工，原告於107年5月23日申報開 工，於109年7月10日申報竣工，工程期間歷經三次變更設計 ，實際履約總天數780日曆天，但如附表所載不計工期及可 展延工期668天，原告實際並未逾期完工（詳後述），故被 告有下述款項尚未給付： ⒈未付工程款561萬8,151元： 被告於110年1月5日驗收（複驗）合格，並以110年2月4日麥 鄉工字第1100002415號函通知同意驗收合格，依系爭契約第 5條第1項第3款約定，驗收合格後，機關於接到廠商提出請","事 由，卻將增加及延誤工期之不利益歸由原告承擔，顯非公平 ，被告就原告之處罰實屬不當，自應依民法不當得利之規定 返還原告違約金罰款551萬5,288元。退而言之，被告依系爭 契約第17條第4項之約定，以契約價金20％為上限處以原告逾 期違約金以551萬5,288元，顯非合理，違反比例原則，請鈞 院依民法第252條之規定予以酌減。 ㈧就被告主張營造保險逾期40天應予扣罰1,893元一節，原告不 爭執。 ㈨就被告扣留水電申請之款項9萬4,750元部分，原告不同意， 蓋因水電申請必須待被告取得使用執照始得辦理，且被告取 得使用執照後，原告便已完成正式水電之申請，被告卻仍扣 留此款項，並非有理。 ㈩並聲明：被告應給付原告6"
"PCDV,109,建,93,20220412,1",2022,202204,臺灣新北地方法院民事,給付工程款,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202204/臺灣新北地方法院民事/PCDV,109,建,93,20220412,1.json",工期;完工期限;展延;展期;逾期;逾期違約金;違約金;遲延,民法第252條;酌減;第252條;過高,583,"情形之一者，不在此限：二、請求之基礎事實同一者 ；三、擴張或減縮應受判決事項之聲明者，民事訴訟法第25 5 條第1 項但書第2 款、第3 款定有明文。原告起訴時聲明 請求被告給付新臺幣（下同）1,732萬8,593元，及自起訴狀 繕本送達翌日起至清償日止，按週年利率5%計算之利息，嗣 於訴訟中將原請求第一階段逾期違約金82萬4,068元，變更 為請求144萬6,150元，並將請求被告給付總金額變更為1,79 5萬675元（見本院卷三第345頁至第347頁），核乃基於請求 返還同一工程逾期違約金之基礎事實，並擴張應受判決事項 之聲明，與前開規定相符，應予准許。 貳、實體部分 一、原告起訴主張： ㈠原告於民國104年6月23日承","情形之一者，不在此限：二、請求之基礎事實同一者 ；三、擴張或減縮應受判決事項之聲明者，民事訴訟法第25 5 條第1 項但書第2 款、第3 款定有明文。原告起訴時聲明 請求被告給付新臺幣（下同）1,732萬8,593元，及自起訴狀 繕本送達翌日起至清償日止，按週年利率5%計算之利息，嗣 於訴訟中將原請求第一階段逾期違約金82萬4,068元，變更 為請求144萬6,150元，並將請求被告給付總金額變更為1,79 5萬675元（見本院卷三第345頁至第347頁），核乃基於請求 返還同一工程逾期違約金之基礎事實，並擴張應受判決事項 之聲明，與前開規定相符，應予准許。 貳、實體部分 一、原告起訴主張： ㈠原告於民國104年6月2","1萬410元，換算每日逾期計罰3,110元，逾 期465日為144萬6,150元，然因系爭契約並未約定逾分段進 度之逾期違約金額，被告前開計算顯無契約依據，且履約期 間縱遇有被告交付用地遲延等情形，原告仍戮力攢趕工進， 原告於第二階段完工前並無給付義務及給付遲延，被告扣罰 144萬6,150元實屬過苛，請求依民法第252條規定予以酌減 。 ⒊第二階段逾期2天逾期違約金53萬7,816元： 被告於107年11月15日函文向原告表示剩餘土石方於107年11 月15日（30日內）清運至臺中市政府指定地點，係以實際清 運開始至完成為30日，而不包括被告向臺中市政府新建工程 處申請「流向編號」及原告依被告申請「流向編號」而始得"
"TPHV,111,建上,4,20230412,2",2023,202304,臺灣高等法院民事,給付工程款,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202304/臺灣高等法院民事/TPHV,111,建上,4,20230412,2.json",工期;完工期限;展延;逾期;逾期違約金;違約金;遲延,民法第252條;酌減;第252條;過高,576,"款約定，前開費用共計34萬2,876元被上訴人亦應給付。 (四)前開（一）至（三）項之間接工程費部分： 因前開（一）至（三）項直接工程費用增加，依系爭契約第 3條附件第3款約定，系爭契約一式計價項目即管理費之部分 ，亦應按結算數量比例調整增加，即以直接工程費之10%計 算為144萬4,260元。 (五)返還不當計罰品管違約金部分： 系爭契約履約過程中，被上訴人不當扣罰品管計畫書逾期違 約金41萬6,680元、第6次趕工計畫逾期違約金8萬6,872元、 圍籬改善逾期違約金8萬8,112元、7萬8,262元，共669,926 元，依系爭契約第3條附件第2款約定、民法第490、491、17 9條規定，應給付或返還上訴人。 (六)返還不當","5頁），核無不合，應予准許。 貳、實體部分 一、上訴人即附帶被上訴人宏展興工程股份有公司（下稱上訴人 ）主張： 兩造於民國101年8月3日簽訂「永和綠寶石運動園區2期（1 區）景觀改善工程」（下稱系爭工程）承攬契約（下稱系爭 契約），約定由上訴人承攬系爭工程，契約金額為新臺幣（ 下同）8,420萬元，工期為自開工日起210日曆天內完工。系 爭工程於101年8月23日開工，契約約定完工期限為102年3月 20日，實際於103年5月5日竣工，同年10月5日完成驗收，同 年12月11日發給結算驗收證明書，上訴人於104年4月17日收 受竣工書圖及結算明細。依系爭工程之招標內容，上訴人原 得於進場後就系爭工程全工區一","延工期部分，尚須再展延96天，依此 結果上訴人承攬系爭工程即無遲延，自應返還不當計罰之逾 期違約金405萬4,624元，爰依民法第179條規定請求返還。 縱上訴人有逾期情形，然上訴人已完成系爭工程，被上訴人 並未因此受有損害，尚因被上訴人要求先行使用設置停車場 ，而得收取停車費近4,600萬餘元，違約金亦應予酌減，被 上訴人即不應再對上訴人計罰違約金。 (七)展延工期間接費用部分： 結算數量增加部分相關工期177天，被上訴人應依系爭契約 第20條第12款約定、民法第227條之2規定，給付展延工期所 生相關間接費用1,428萬0821元。 綜上，上開各項目之費用總計3,489萬2,227元（各項請求金 額、請求權基"
"CYDV,107,建,13,20230921,2",2023,202309,臺灣嘉義地方法院民事,給付工程款,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202309/臺灣嘉義地方法院民事/CYDV,107,建,13,20230921,2.json",工期;展延;展期;逾期;逾期違約金;違約金;遲延,民法第252條;酌減;第252條,570,"年5月19日改善缺失 完成，並通知監造單位台灣世曦公司，轉知被告辦理複驗。 台灣世曦公司卻未通知被告進行複驗，逕自認定原告至106 年6月20日才改善完成，違反一般條款應由被告辦理複驗的 約定。且依一般條款「S.竣工及驗收」約定，初驗瑕疵限期 改善應有2次，如逾期改善或不改善，被告才能開始計罰逾 期違約金。另原告就算是106年6月20日才改善完成，也是在 本件工程如前述展延後竣工日之前。所以，原告並無遲延驗 收缺失改善期限。 ㈣、被告以原告遲延竣工87天、驗收改善遲延32天，共計逾期11 9天為由，計罰違約金共1億1,334萬8,403元，並扣抵工程尾 款。但原告既然無逾期情事，被告不應扣罰逾期違約金。縱 認原",護工程處（ 之後因應政府組織整併，最終由被告承受）發包的「台九線 417K+715〜426K+000（舊樁號431K+000〜438K+500）拓寬改善 工程」（下稱本件工程），並簽訂工程契約（下稱本件契約 ）。本件工程於102年8月16日開工，預定的竣工日期原為10 4年8月17日。因施工過程中，經被告核准展延如附表一所示 工期共計333天，完工日期延至105年7月15日。原告於106年 3月6日竣工，並經被告在106年9月4日驗收合格。 ㈡、本件工程因有下述非可歸責於原告所致遲延完工因素，依本 件契約施工說明書一般條款（下稱一般條款）「H.開工、暫 停、工程展延及延誤」約定，應展延工期。如此，完工日期 遠大於實,"06年6月20日才改善完成，也是在 本件工程如前述展延後竣工日之前。所以，原告並無遲延驗 收缺失改善期限。 ㈣、被告以原告遲延竣工87天、驗收改善遲延32天，共計逾期11 9天為由，計罰違約金共1億1,334萬8,403元，並扣抵工程尾 款。但原告既然無逾期情事，被告不應扣罰逾期違約金。縱 認原告有遲延完工，依民法第252條規定，請求酌減違約金 。 ㈤、本件工程原已因附表一所示因素，展延工期共計333天，扣除 其中因颱風天候因素造成展延的22日，加上附表三應再展延 工期(除沿海長浪外)，均屬於因被告因素所造成的遲延，且 上開事由均非契約成立時所得預見。依一般條款「H.6展延 工期」(2)約定，或民法第227條之2規定，被告應給"
"TPHV,107,建上,38,20230221,1",2023,202302,臺灣高等法院民事,給付違約金等,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202302/臺灣高等法院民事/TPHV,107,建上,38,20230221,1.json",工期;完工期限;展延;展期;逾期;逾期違約金;違約金;遲延,民法第252條;酌減;第252條;過高,546,複代理人 陳宛鈴律師 上 訴 人 豪昱營造股份有限公司 法定代理人 廖年毓 上 訴 人 互立機電工程股份有限公司 法定代理人 廖年毓 共 同 訴訟代理人 蕭世光律師 複代理人 章修璇律師 上列當事人間請求給付違約金等事件，兩造對於中華民國107年6 月15日臺灣新竹地方法院106年度建字第10號第一審判決各自提 起上訴，豪昱營造股份有限公司、互立機電工程股份有限公司並 為訴之追加，本院於112年1月10日言詞辯論終結，判決如下： 主 文 原判決關於駁回上訴人國立陽明交通大學後開第二項之訴部分， 及該部分假執行之聲請，暨訴訟費用之裁判均廢棄,"按於第二審為訴之變更或追加，非經他造同意，不得為之， 但擴張或減縮應受判決事項之聲明者，不在此限，民事訴訟 法第446條第1項、第255條第1項第3款定有明文。查上訴人 豪昱營造股份有限公司、互立機電工程股份有限公司（下分 稱豪昱公司、互立公司，合稱豪昱等2公司）於原審提起反 訴，請求陽明交大給付尚欠工程款及展延期間工程管理費等 新臺幣（下同）2,346萬7,384元本息，惟嗣於本院復就其反 訴請求金額為追加，而請求陽明交大應給付豪昱等2公司2,9 26萬0,770元，及其中2,346萬7,384元自106年5月9日起，其 餘579萬3,386元自109年3月3日起，均至清償日止，按年息5 %計算之利息（見本院卷二7",",887）。 ㈤、有關附表一編號5違約金部分：伊施作工項雖與規定不符，然 對於系爭工程並無重大影響，減價收受即以為足，實無必要 扣罰伊按減價金額2倍計算之懲罰性違約金。又系爭契約第4 條第1項違約金之性質應為損害賠償總額預定，陽明交大辦 理減價收受並未受有損害，扣罰伊2倍懲罰性違約金顯失公 平。原審雖予以酌減50%即81萬5,216元，仍屬過高等語，資 為抗辯。 乙、反訴及追加部分： 一、豪昱等2公司主張：系爭工程經2次變更設計後總價為1億8,8 54萬8,712元，扣除伊已請領之工程款後，陽明交大尚應給 付伊如附表二編號1所示工程尾款2,529萬1,030元。又依第 一次鑑定報告結論，施工期間有多項不可歸責於伊之事由"
