JID,decision_year,month,court,JTITLE,JCASE,JNO,JDATE,json_file,final_judgment_amount,final_judgment_amount_text,extraction_status,principal_award_total,principal_award_components,retained_award_total,retained_award_components,source_sentence,main_text_excerpt,main_amount_candidates,conclusion_amount_candidates,ai_allowed_penalty,ai_claimed_penalty,final_minus_ai_allowed_penalty,final_to_ai_allowed_penalty_ratio,manual_checked,review_note
"KSDV,109,訴,1349,20210122,4",2021,202101,臺灣高雄地方法院民事,返還履約保證金等,訴,1349,20210122,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/臺灣高雄地方法院民事/KSDV,109,訴,1349,20210122,4.json",2244000,"2,244,000",main_text_award,2244000,"2,244,000=2244000",,,"被告應給付原告新臺幣2,244,000元，及其中新臺幣1,482,000元自民國109 年7 月22日起，其中新臺幣762,000元自本判決確 定翌日起，均至清償日止，按週年利率百分之五計算之利息。","被告應給付原告新臺幣2,244,000元，及其中新臺幣1,482,000元自民國109 年7 月22日起，其中新臺幣762,000元自本判決確 定翌日起，均至清償日止，按週年利率百分之五計算之利息。 原告其餘之訴駁回。 訴訟費用由被告負擔分十之七，餘由原告負擔。 本判決第一項於原告以新臺幣748,000元為被告供擔保後，得假 執行。但被告以新臺幣2,244,000元為原告預供擔保後，得免為 假執行。 原告其餘假執行之聲請駁回。","2,244,000=2244000 ; 1,482,000=1482000 ; 762,000=762000 ; 748,000=748000 ; 2,244,000=2244000","97萬=970000 ; 1,732,000=1732000 ; 762,000=762000 ; 1,732,000=1732000 ; 970,000=970000 ; 762,000=762000 ; 2,244,000=2244000 ; 1,482,000=1482000 ; 762,000=762000 ; 2,244,000=2244000 ; 1,482,000=1482000 ; 762,000=762000 ; ...(+83)",970000,10822000,1274000,2.313402,ai_assumed,主文直接命令給付/返還之本金金額；多筆本金時已加總，仍建議人工確認。
"MLDV,109,建,21,20210128,1",2021,202101,臺灣苗栗地方法院民事,給付監造服務費用等,建,21,20210128,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/臺灣苗栗地方法院民事/MLDV,109,建,21,20210128,1.json",15754184,"15,754,184",main_text_award,15754184,"15,754,184=15754184",,,"被告應給付原告新臺幣（下同）15,754,184元，及自民國109 年 8 月7 日起至清償日止，按週年利率5 ％計算之利息。","被告應給付原告新臺幣（下同）15,754,184元，及自民國109 年 8 月7 日起至清償日止，按週年利率5 ％計算之利息。 原告其餘之訴駁回。 訴訟費用（除減縮部分外）由被告負擔99％，餘由原告負擔。 本判決於原告以5,250,000元供擔保後，得假執行。但被告如以 15,754,184元為原告預供擔保後，得免為假執行。 原告其餘假執行之聲請駁回。","15,754,184=15754184 ; 5,250,000=5250000 ; 15,754,184=15754184","15,754,184=15754184 ; 65,000=65000 ; 5,000=5000 ; 2,000=2000 ; 26,000=26000 ; 6,536,415=6536415 ; 6,662,415=6662415 ; 85,000=85000 ; 10,000=10000 ; 5,000=5000 ; 26,000=26000 ; 11,780,184=11780184 ; ...(+149)",6662415,6662415,9091769,2.364636,ai_assumed,主文直接命令給付/返還之本金金額；多筆本金時已加總，仍建議人工確認。
"TPHV,108,建上,20,20210331,1",2021,202103,臺灣高等法院民事,給付工程款,建上,20,20210331,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202103/臺灣高等法院民事/TPHV,108,建上,20,20210331,1.json",2353298,貳佰參拾伍萬參仟貳佰玖拾捌,main_text_award,2353298,貳佰參拾伍萬參仟貳佰玖拾捌=2353298,,,被上訴人應再給付上訴人新臺幣貳佰參拾伍萬參仟貳佰玖拾捌元 ，及自民國一０六年五月六日起至清償日止，按年息百分之五計 算之利息。,原判決關於駁回上訴人後開第二項之訴，及該部分假執行之聲請 ，暨命上訴人負擔該部分訴訟費用之裁判均廢棄。 被上訴人應再給付上訴人新臺幣貳佰參拾伍萬參仟貳佰玖拾捌元 ，及自民國一０六年五月六日起至清償日止，按年息百分之五計 算之利息。 其餘上訴駁回。 第一審訴訟費用關於廢棄部分，由被上訴人負擔。第二審訴訟費 用除減縮部分外，由被上訴人負擔五分之三，餘由上訴人負擔。 本判決第二項所命給付，於上訴人以新臺幣柒拾捌萬伍仟元為被 上訴人供擔保後，得假執行。但被上訴人如以新臺幣貳佰參拾伍萬參仟貳佰玖拾捌元為上訴人預供擔保，得免為假執行。,貳佰參拾伍萬參仟貳佰玖拾捌=2353298 ; 柒拾捌萬伍仟=785000 ; 貳佰參拾伍萬參仟貳佰玖拾捌=2353298,0=0 ; 58萬8000=588000 ; 92萬9000=929000 ; 34萬1000=341000 ; 148萬5550=1485550 ; 256萬4100=2564100 ; 107萬8550=1078550 ; 24萬4200=244200 ; 231萬7750=2317750 ; 58萬8000=588000 ; 148萬5550=1485550 ; 24萬4200=244200 ; ...(+138),2564100,40700003,-210802,0.917787,ai_assumed,主文直接命令給付/返還之本金金額；多筆本金時已加總，仍建議人工確認。
"TCHV,108,建上,22,20210421,1",2021,202104,臺灣高等法院臺中分院民事,給付工程款等,建上,22,20210421,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202104/臺灣高等法院臺中分院民事/TCHV,108,建上,22,20210421,1.json",10433610,壹仟零肆拾參萬參仟陸佰壹拾,main_text_award,10433610,壹仟零肆拾參萬參仟陸佰壹拾=10433610,,,二、臺灣港務股份有限公司臺中港務分公司應再給付協信營造有 限公司新臺幣壹仟零肆拾參萬參仟陸佰壹拾元，及其中新臺 幣肆拾柒萬參仟陸佰壹拾元自民國一百零五年十一月十五日 起，其餘新臺幣玖佰玖拾陸萬元自本件判決確定之翌日起， 均至清償日止，按週年利率百分之五計算之利息。,一、原判決關於駁回協信營造有限公司後開第二項之訴部分，及 該部分假執行之聲請，暨訴訟費用之裁判均廢棄。 二、臺灣港務股份有限公司臺中港務分公司應再給付協信營造有 限公司新臺幣壹仟零肆拾參萬參仟陸佰壹拾元，及其中新臺 幣肆拾柒萬參仟陸佰壹拾元自民國一百零五年十一月十五日 起，其餘新臺幣玖佰玖拾陸萬元自本件判決確定之翌日起， 均至清償日止，按週年利率百分之五計算之利息。 三、協信營造有限公司之其餘上訴及臺灣港務股份有限公司臺中 港務分公司之上訴均駁回。 四、第一、二審訴訟費用，由臺灣港務股份有限公司臺中港務分 公司負擔百分之八十四，餘由協信營造有限公司負擔。 五、本判決所命臺灣港務股份有限公司臺中港務分公司給付部分 ，於協信營造有限公…,壹仟零肆拾參萬參仟陸佰壹拾=10433610 ; 肆拾柒萬參仟陸佰壹拾=473610 ; 玖佰玖拾陸萬=9960000 ; 參佰肆拾柒萬捌仟=3478000 ; 壹仟零肆拾參萬參仟陸佰壹拾=10433610,996萬=9960000 ; 1億4434萬3470=144343470 ; 1億5430萬3470=154303470 ; 1億4434萬3470=144343470 ; 1億5430萬3470=154303470 ; 1億4434萬3470=144343470 ; 996萬=9960000 ; 1043萬3610=10433610 ; 1億5430萬3470=154303470 ; 1億4386萬9860=143869860 ; 1043萬3610=10433610 ; 參佰肆拾柒萬捌仟=3478000 ; ...(+84),10433610,19920000,0,1.0,ai_assumed,主文直接命令給付/返還之本金金額；多筆本金時已加總，仍建議人工確認。
"TCDV,109,建,95,20210415,1",2021,202104,臺灣臺中地方法院民事,給付工程款,建,95,20210415,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202104/臺灣臺中地方法院民事/TCDV,109,建,95,20210415,1.json",10800000,"1,080萬",main_text_award,10800000,"1,080萬=10800000",,,"被告應給付原告新臺幣（下同）1,080萬元，及自本判決確定之 翌日起至清償日止按年息5%計算之利息。","被告應給付原告新臺幣（下同）1,080萬元，及自本判決確定之 翌日起至清償日止按年息5%計算之利息。 原告其餘之訴駁回。 訴訟費用由被告負擔50%，餘由原告負擔。 本判決於原告以360萬元供擔保後，得假執行：但被告如以1,080萬元為原告預供擔保，得免為假執行。 原告其餘假執行之聲請駁回。","1,080萬=10800000 ; 360萬=3600000 ; 1,080萬=10800000","0=0 ; 1,844,384=1844384 ; 1700=1700 ; 1,870萬=18700000 ; 1,844,384=1844384 ; 1,851,370=1851370 ; 2,550萬=25500000 ; 1,851,370=1851370 ; 6,986=6986 ; 60萬=600000 ; 2,160萬=21600000 ; 2,160萬=21600000 ; ...(+40)",,600000,,,ai_assumed,主文直接命令給付/返還之本金金額；多筆本金時已加總，仍建議人工確認。
"TNHV,109,建上更一,3,20210420,1",2021,202104,臺灣高等法院臺南分院民事,給付工程款,建上更一,3,20210420,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202104/臺灣高等法院臺南分院民事/TNHV,109,建上更一,3,20210420,1.json",,,appeal_dismissed_no_main_amount,,,,,上訴駁回。 第二審及發回前第三審（除確定部分外）訴訟費用由上訴人負擔 。,上訴駁回。 第二審及發回前第三審（除確定部分外）訴訟費用由上訴人負擔 。,,"2,027,400=2027400 ; 392,064=392064 ; 533,010=533010 ; 392,064=392064 ; 533,010=533010 ; 2,440,437=2440437 ; 533,010=533010 ; 392,064=392064 ; 533,010=533010 ; 2,440,437=2440437 ; 2,850萬=28500000 ; 20,754,943=20754943 ; ...(+31)",2468488,28051067,,,ai_assumed,主文為上訴/抗告駁回但未明列金額；需查前審主文才能得知維持金額。
"CHDV,110,建,4,20210430,1",2021,202104,臺灣彰化地方法院民事,給付工程款等,建,4,20210430,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202104/臺灣彰化地方法院民事/CHDV,110,建,4,20210430,1.json",11851782,壹仟壹佰貳拾萬捌仟捌佰參拾壹 + 陸拾肆萬貳仟玖佰伍拾壹,main_text_award,11851782,壹仟壹佰貳拾萬捌仟捌佰參拾壹=11208831 ; 陸拾肆萬貳仟玖佰伍拾壹=642951,,,被告應給付原告萬科營造工程股份有限公司新台幣壹仟壹佰貳拾萬捌仟捌佰參拾壹元，及自民國一一０年二月五日起至清償止， 按年息百分之五計算之利息。 || 被告應給付原告隆和春營造有限公司新台幣陸拾肆萬貳仟玖佰伍拾壹元，及自民國一一０年二月五日起至清償止，按年息百分之 五計算之利息。,被告應給付原告萬科營造工程股份有限公司新台幣壹仟壹佰貳拾萬捌仟捌佰參拾壹元，及自民國一一０年二月五日起至清償止， 按年息百分之五計算之利息。 被告應給付原告隆和春營造有限公司新台幣陸拾肆萬貳仟玖佰伍拾壹元，及自民國一一０年二月五日起至清償止，按年息百分之 五計算之利息。 原告其餘之訴駁回。 訴訟費用由被告負擔百分之二十七，餘由原告連帶負擔。 本判決第一項於原告以新臺幣參佰柒拾參萬陸仟貳佰柒拾柒元為 被告供擔保後，得假執行，但被告如以新台幣壹仟壹佰貳拾萬捌仟捌佰參拾壹元為原告萬科營造工程股份有限公司預供擔保，得 免為假執行。 本判決第二項於原告以新臺幣貳拾肆萬柒仟陸佰伍拾元為被告供 擔保後，得假執行，但被告如以新台幣陸拾肆萬貳仟玖佰…,壹仟壹佰貳拾萬捌仟捌佰參拾壹=11208831 ; 陸拾肆萬貳仟玖佰伍拾壹=642951 ; 參佰柒拾參萬陸仟貳佰柒拾柒=3736277 ; 壹仟壹佰貳拾萬捌仟捌佰參拾壹=11208831 ; 貳拾肆萬柒仟陸佰伍拾=247650,"3,950,594=3950594 ; 642,951=642951 ; 642,951=642951 ; 586,539=586539 ; 11,208,831=11208831 ; 11,208,831=11208831 ; 642,951=642951 ; 3,950,594=3950594 ; 3,950,594=3950594 ; 642,951=642951 ; 642,951=642951 ; 586,539=586539 ; ...(+22)",1422214,1422214,10429568,8.333332,ai_assumed,主文直接命令給付/返還之本金金額；多筆本金時已加總，仍建議人工確認。
"TNHV,106,建上,8,20210408,1",2021,202104,臺灣高等法院臺南分院民事,給付工程款,建上,8,20210408,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202104/臺灣高等法院臺南分院民事/TNHV,106,建上,8,20210408,1.json",5211227,伍佰貳拾壹萬壹仟貳佰貳拾柒,main_text_award,5211227,伍佰貳拾壹萬壹仟貳佰貳拾柒=5211227,,,被上訴人應再給付上訴人新臺幣伍佰貳拾壹萬壹仟貳佰貳拾柒元 ，及其中新臺幣伍佰壹拾伍萬玖仟肆佰陸拾貳元自民國一０四年 九月十五日起至清償日止，按年息百分之五計算之利息。,原判決關於駁回上訴人後開第二項之訴部分，及該部分假執行之 聲請暨訴訟費用之裁判均廢棄。 被上訴人應再給付上訴人新臺幣伍佰貳拾壹萬壹仟貳佰貳拾柒元 ，及其中新臺幣伍佰壹拾伍萬玖仟肆佰陸拾貳元自民國一０四年 九月十五日起至清償日止，按年息百分之五計算之利息。 上訴人其餘上訴均駁回。 被上訴人之附帶上訴駁回。 上訴部分，第一、二審訴訟費用，由上訴人負擔百分之五十三， 餘由被上訴人負擔。第二審訴訟費用關於附帶上訴部分，由被上 訴人負擔。 本判決第二項所命給付部分，於上訴人以新臺幣壹佰柒拾叄萬捌仟元供擔保後得假執行；但被上訴人如以新臺幣伍佰貳拾壹萬壹仟貳佰貳拾柒元為上訴人預供擔保，得免為假執行。,伍佰貳拾壹萬壹仟貳佰貳拾柒=5211227 ; 伍佰壹拾伍萬玖仟肆佰陸拾貳=5159462 ; 壹佰柒拾叄萬捌仟=1738000 ; 伍佰貳拾壹萬壹仟貳佰貳拾柒=5211227,"35,563=35563 ; 6,475,897=6475897 ; 2,043,006=2043006 ; 4,124,075=4124075 ; 51,765=51765 ; 257,051=257051 ; 6,475,897=6475897 ; 1,264,670=1264670 ; 5,211,227=5211227 ; 5,159,462=5159462 ; 5,211,227=5211227 ; 5,159,462=5159462 ; ...(+109)",3856000,4232075,1355227,1.351459,ai_assumed,主文直接命令給付/返還之本金金額；多筆本金時已加總，仍建議人工確認。
"TPHV,108,建上,80,20210519,3",2021,202105,臺灣高等法院民事,給付工程款,建上,80,20210519,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202105/臺灣高等法院民事/TPHV,108,建上,80,20210519,3.json",0,0,first_instance_dismissed_no_award,,,,,原判決關於命上訴人給付被上訴人新臺幣捌仟玖佰玖拾參萬伍仟肆佰柒拾捌元本息部分，暨該訴訟費用之裁判均廢棄。 上開廢棄部分，被上訴人在第一審之訴駁回。 被上訴人之附帶上訴駁回。 廢棄改判部分第一、二審及附帶上訴之訴訟費用，均由被上訴人 負擔。,原判決關於命上訴人給付被上訴人新臺幣捌仟玖佰玖拾參萬伍仟肆佰柒拾捌元本息部分，暨該訴訟費用之裁判均廢棄。 上開廢棄部分，被上訴人在第一審之訴駁回。 被上訴人之附帶上訴駁回。 廢棄改判部分第一、二審及附帶上訴之訴訟費用，均由被上訴人 負擔。,捌仟玖佰玖拾參萬伍仟肆佰柒拾捌=89935478,"10億1,055萬7,932=1010557932 ; 8,993萬9,656=89939656 ; 89,939,656，=89939656 ; 8,993萬5,478=89935478 ; 8,993萬5,478=89935478 ; 8,993萬5,478=89935478 ; 400萬5,426=4005426 ; 8,993萬5,478=89935478 ; 8,993萬5,478=89935478 ; 348萬6,213=3486213 ; 8,993萬5,478=89935478 ; 348萬6,213=3486213 ; ...(+6)",89935478,89935478,-89935478,0.0,ai_assumed,主文顯示一審/本訴請求駁回且未命令給付，暫記為 0。
"TPDV,109,建,376,20210528,1",2021,202105,臺灣臺北地方法院民事,給付工程款,建,376,20210528,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202105/臺灣臺北地方法院民事/TPDV,109,建,376,20210528,1.json",7287954,柒佰貳拾捌萬柒仟玖佰伍拾肆,main_text_award,7287954,柒佰貳拾捌萬柒仟玖佰伍拾肆=7287954,,,被告應給付原告新台幣柒佰貳拾捌萬柒仟玖佰伍拾肆元，及自民 國一百零九年十一月十七日起至清償日止，按年息百分之五計算 之利息。,被告應給付原告新台幣柒佰貳拾捌萬柒仟玖佰伍拾肆元，及自民 國一百零九年十一月十七日起至清償日止，按年息百分之五計算 之利息。 原告其餘之訴駁回。 訴訟費用由被告負擔百分之七十二，餘由原告負擔。 本判決第一項於原告以新台幣貳佰肆拾參萬元為被告供擔保後， 得假執行；但被告如以新台幣柒佰貳拾捌萬柒仟玖佰伍拾肆元為 原告預供擔保，得免為假執行。 原告其餘假執行之聲請駁回。,柒佰貳拾捌萬柒仟玖佰伍拾肆=7287954 ; 貳佰肆拾參萬=2430000 ; 柒佰貳拾捌萬柒仟玖佰伍拾肆=7287954,"279,232,319=279232319 ; 2,778,971=2778971 ; 2,778,971=2778971 ; 279,232,319=279232319 ; 10,066,925=10066925 ; 2,778,971=2778971 ; 878,746=878746 ; 1,320,000=1320000 ; 532,825=532825 ; 47,400=47400 ; 2,778,971=2778971 ; 7,287,954=7287954 ; ...(+62)",9033281,9033281,-1745327,0.806789,ai_assumed,主文直接命令給付/返還之本金金額；多筆本金時已加總，仍建議人工確認。
