"JID","month","decision_year","court","JYEAR","JCASE","JNO","JDATE","JTITLE","JFULL_len","工程次數","src_path","json_file","read_status","judgment_text_available","penalty_keyword_count","delay_keyword_count","reduction_keyword_count","strong_reduction_keyword_count","first_layer_score","second_layer_score","strong_reduction_score","relevance_score","matched_penalty_terms","matched_delay_terms","matched_reduction_terms","matched_strong_reduction_terms","matched_first_layer_terms","is_overdue_penalty_candidate","is_penalty_reduction_high_relevance","first_layer_snippet","reduction_snippet"
"TPSV,109,台上,1455,20210106,1","202101","2021","最高法院民事","109","台上","1455","20210106","請求給付工程保留款等","5303","47","202101/最高法院民事/TPSV,109,台上,1455,20210106,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/最高法院民事/TPSV,109,台上,1455,20210106,1.json","ok","1","10","11","0","0","21","0","0","21","逾期違約金;違約金","工期;逾期;遲延","","","工期;逾期;逾期違約金;違約金;遲延","1","0","。又被上訴人於伊洽請其他廠商完成系爭全部工作之前，依約尚 不得請求發還系爭保留款。被上訴人就系爭工程有溢領工程款91 3萬4,912元之情，且被上訴人於系爭契約經終止前，已遲誤工期 13日，其逾期違約金為263萬6,400元，伊皆得據以主張與本件被 上訴人之請求相抵銷等語，資為抗辯。 原審維持第一審就上開部分所為上訴人敗訴之判決，駁回其上訴 ，係以：",""
"TPSV,109,台上,3230,20210106,1","202101","2021","最高法院民事","109","台上","3230","20210106","請求返還履約保證金等","4406","16","202101/最高法院民事/TPSV,109,台上,3230,20210106,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/最高法院民事/TPSV,109,台上,3230,20210106,1.json","ok","1","7","1","4","4","8","4","4","32","違約金","遲延","酌減;過高","酌減;過高","違約金;遲延","1","1","北世貿中心展覽大樓變電站VCB （真空斷路器）汰舊換新工程 （下稱系爭工程）」契約（下稱系爭契約），約定履約期限為 同年12月3 日。伊依約進行相關資料之送審，並未遲延，縱進 度落後亦非可歸責於伊，則被上訴人於同年11月30日以伊進度 落後為由終止系爭契約，自不生終止效力。系爭工程因被上訴 人另行發包完成，伊已無給付可能，該給付","9 條請求被上訴人返還，不應准 許。履約保證金係在擔保契約履行之用，與違約金係就損害賠 償總額之預定，有所不同，況系爭履約保證金僅占全部工程款 之5%，亦難認有何過高之情形，上訴人主張依民法第251、252 條規定予以酌減，不應准許。系爭契約係因上訴人有可歸責於 己事由未履約，而遭被上訴人依約終止，非屬系爭契約第22條 第7"
"TPSV,110,台上,284,20210128,1","202101","2021","最高法院民事","110","台上","284","20210128","請求給付工程款","5236","42","202101/最高法院民事/TPSV,110,台上,284,20210128,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/最高法院民事/TPSV,110,台上,284,20210128,1.json","ok","1","1","2","0","0","3","0","0","3","違約金","工期;遲延","","","工期;違約金;遲延","1","0","上訴人發包之「高市梓官區嘉展路汰 換管線工程」（下稱系爭工程），兩造於民國106年7月12日簽立 工程契約（下稱系爭契約），約定系爭工程總價為新臺幣（下同 ）1,339萬元，工期為50 日曆天，且伊於管線開挖置換新管線後 ，可使用「控制性低強度回填材料」（下稱CLSM）做為自來水管 線外部回填材料。伊於同年9月25日開工，並於同年10月6日提出 CL",""
"LCDV,109,重訴,1,20210113,1","202101","2021","福建連江地方法院民事","109","重訴","1","20210113","債務不履行損害賠償","13754","1","202101/福建連江地方法院民事/LCDV,109,重訴,1,20210113,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/福建連江地方法院民事/LCDV,109,重訴,1,20210113,1.json","ok","1","1","6","3","0","7","3","0","13","違約金","逾期;遲延","相當","","逾期;違約金;遲延","1","0","為解約的通知。後來被告仍委請律師再度回函拒 絕履行。 ㈢依照修正前民法第227條規定，債務人不為給付，債權人得 請求損害賠償，其效果可分別依給付不能或給付遲延處理。 被告既然明示「拒絕給付」系爭62張有效訂單，究竟屬於獨 立的債務不履行態樣，還是「給付遲延」，學者間雖有爭論 ，但被告拒絕給付均涵攝在民法第2","信。另就原告主張「 包材費用」損失部分，所提出的發票多為合約期間以前的發 票，與本件發生訟爭的104年7月8日的訂單無關，自不能認 定與被告拒絕訂單有相當因果關係。針對原告以自行估計的 毛利率16.68%主張受有利潤損失1,556萬7,459元部分，除原 告於104年7月8日一天內向被告提出高達4,901萬5,2"
"PTDV,107,建,26,20210122,2","202101","2021","臺灣屏東地方法院民事","107","建","26","20210122","給付工程款等","16000","148","202101/臺灣屏東地方法院民事/PTDV,107,建,26,20210122,2.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/臺灣屏東地方法院民事/PTDV,107,建,26,20210122,2.json","ok","1","7","6","1","0","13","1","0","15","違約金","工期;完工期限;遲延","相當","","工期;完工期限;違約金;遲延","1","0","無法營生 之損害賠償21萬元，被告於言詞辯論終結前，以原告施工有 瑕疵，致被告支出額外之工程款，且原告應返還溢領之工程 款、賠償額外支出之損失及懲罰性違約金為由，據以提起反 訴，請求原告給付1,809,946 元，其反訴訴訟標的與本訴之 防禦方法相牽連，亦無專屬管轄之情形，揆諸上開規定，被 告所為反訴合法","依實際買受金額報銷 、反訴被告得受領工資之金額等明白約定，並無須約定契 約總價金，並明定單價、總價不受物價波動影響。 ⑵又承攬人承攬工程，必求相當利潤，若無利可圖，無人願 受，此為人情之常。反訴原告依據系爭合約所附工程詳細 表所載，主張反訴被告之工資共為30萬元，然而系爭工程 之施作"
"MLDV,109,建,21,20210128,1","202101","2021","臺灣苗栗地方法院民事","109","建","21","20210128","給付監造服務費用等","23793","131","202101/臺灣苗栗地方法院民事/MLDV,109,建,21,20210128,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/臺灣苗栗地方法院民事/MLDV,109,建,21,20210128,1.json","ok","1","59","66","25","22","125","25","22","263","逾期違約金;違約金","工期;逾期;遲延","民法第252條;相當;酌減;第252條;過高","民法第252條;酌減;第252條;過高","工期;逾期;逾期違約金;違約金;遲延","1","1","程因安裝清冊資料與現地不符等原因而有需釐清之必 要，承包商於申請停工並經被告同意，乃均自105 年8 月1 日停工，嗣第一區工程於105 年11月7 日復工，停工期間共 計98天，第二區工程則於106 年2 月6 日復工，停工期間共 計189 天；另第一區工程自105 年11月17日竣工至106 年11 月27日","約第2 條第3 項第5 款第4 目 約定，應依第18條第5 項約定，每處計罰5,000 元，扣罰懲 罰性違約金397 萬元。 ②如有前開違約金扣罰，原告依民法第252 條約定請求違約金 酌減，有無理由？酌減之範圍？ ⒉原告請求系爭服務案追加之監造服務費用11,780,184元（包 含系爭工程停工至復工間服務費用3,420,"
"TYDV,107,建,49,20210129,1","202101","2021","臺灣桃園地方法院民事","107","建","49","20210129","返還不當得利等","24938","120","202101/臺灣桃園地方法院民事/TYDV,107,建,49,20210129,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/臺灣桃園地方法院民事/TYDV,107,建,49,20210129,1.json","ok","1","8","16","14","0","24","14","0","52","違約金","工期;完工期限;逾期;遲延","相當","","工期;完工期限;逾期;違約金;遲延","1","0","工程承攬契約書」（下稱系爭承攬契約），由被告承攬 伊所有門牌號碼桃園市○○區○○街00號房屋裝修工程（下 稱系爭工程），總工程款新臺幣（下同）280 萬元，完工期 限為105 年12月15日。該完工期限即係兩造約定系爭工程應 於特定時間內完成之要素；惟被告遲延工程進度且施工品質 有瑕疵，經伊多次催告仍不置理，伊","定人李建輝當庭陳 稱：「一、這部分的爭議是因為原告主張被告所做成的櫃體 不符合原告的需求及功能。二、依照現場的施作結果，現場 確實與當初約定的估價金額相當，沒有增減的情形。」等語 （見本院卷二第110頁）。 ④經本院審酌原告既已自承簽訂系爭承攬契約時僅有就此部分 之櫃體約定尺寸，被告事後依約完成約定尺寸之櫃"
"TYDV,109,建,31,20210108,1","202101","2021","臺灣桃園地方法院民事","109","建","31","20210108","給付工程款","7677","43","202101/臺灣桃園地方法院民事/TYDV,109,建,31,20210108,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/臺灣桃園地方法院民事/TYDV,109,建,31,20210108,1.json","ok","1","11","1","18","18","12","18","18","120","違約金","遲延","民法第252條;酌減;第252條","民法第252條;酌減;第252條","違約金;遲延","1","1","法律上原因，依民法 第179 條規定，請求被告返還押標金。退步言，原告承攬系 爭工程繳交押標金140 萬元係供擔保之用之履約保證金，由 被告沒收後轉為違約金，系爭工程業經被告重新招標，對被 告並無造成重大損害，僅增加另行招標之支出，原告同意7 萬元為增加支出之費用，依民法第252 條規定，請求酌減為 7","之履約保證金，由 被告沒收後轉為違約金，系爭工程業經被告重新招標，對被 告並無造成重大損害，僅增加另行招標之支出，原告同意7 萬元為增加支出之費用，依民法第252 條規定，請求酌減為 7 萬元，被告應返還133 萬元。並聲明：（一）被告應返還 原告140 萬元，及自109 年2 月26日起至清償日止，按年息 百分之"
"TPHV,107,重上,171,20210112,1","202101","2021","臺灣高等法院民事","107","重上","171","20210112","給付工程款等","44632","288","202101/臺灣高等法院民事/TPHV,107,重上,171,20210112,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/臺灣高等法院民事/TPHV,107,重上,171,20210112,1.json","ok","1","26","136","11","9","162","11","9","220","逾期違約金;違約金","工期;完工期限;展延;逾期;遲延","民法第252條;相當;酌減;第252條;過高","民法第252條;酌減;第252條;過高","工期;完工期限;展延;逾期;逾期違約金;違約金;遲延","1","1","價為8,266萬3,600元。板橋區公所並委託馮月忠 建築師事務所（下稱監造單位）負責辦理系爭工程之設計監 造事務。伊雖於103年3月14日竣工，惟係因監造單位遲延辦 理查驗，監造單位所致之骨灰櫃底座、鋁合金骨灰櫃廠驗、 弱電系統工程、景觀工程等履約爭議，屬可歸責於板橋區公 所之事由致伊不能工作，伊得展延工期，故","區公所以明善公司逾期完工應依系爭契約第17條第4款 扣罰逾期懲罰性違約金1,653萬2,720元，有無理由？明善公 司逾期天數為何？ 2.若有違約金，是否過高應予酌減？ (二)明善公司主張依民法第224條、系爭契約第4條第10款第5目 、第8目、第11條第5款第7目及第20條第11款第1目，請求給 付因延長履約期限"
"TPHV,108,建上,69,20210113,1","202101","2021","臺灣高等法院民事","108","建上","69","20210113","給付工程款","32442","325","202101/臺灣高等法院民事/TPHV,108,建上,69,20210113,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/臺灣高等法院民事/TPHV,108,建上,69,20210113,1.json","ok","1","13","48","7","6","61","7","6","99","逾期違約金;違約金","工期;完工期限;展延;逾期;遲延","相當;酌減;第252條;過高","酌減;第252條;過高","工期;完工期限;展延;逾期;逾期違約金;違約金;遲延","1","1","安裝，升皇公司委請伊將大門開口加高（下稱系爭大門工 程），伊遂調派挖土機施作，所支出費用9,000元應由升 皇公司負擔。 ⑵於廉政署工程施工期間，因總統視察該工程，升皇公司委 請伊代為移動地下一樓廢棄物至另一側（下稱系爭搬移工 程），所支出費用2萬4,000元應由升皇公司負擔。 ⑶系","點），是縱然發生清運車輛未即時載運情事，本屬升皇公 司之責任，不當然會影響薪鉅公司之拆除工作。薪鉅公司 此節抗辯，均不足採。 ⑶按約定之違約金額過高者，法院得減至相當之數額，民法 第252條定有明文，薪鉅公司既已抗辯升皇公司主張之違 約金169萬元尚屬過高，本院審酌爭契約工程總價為142"
