"JID","month","decision_year","court","JYEAR","JCASE","JNO","JDATE","JTITLE","JFULL_len","工程次數","src_path","json_file","read_status","judgment_text_available","penalty_keyword_count","delay_keyword_count","reduction_keyword_count","strong_reduction_keyword_count","first_layer_score","second_layer_score","strong_reduction_score","relevance_score","matched_penalty_terms","matched_delay_terms","matched_reduction_terms","matched_strong_reduction_terms","matched_first_layer_terms","is_overdue_penalty_candidate","is_penalty_reduction_high_relevance","first_layer_snippet","reduction_snippet"
"CYDV,109,建,4,20230109,3","202301","2023","臺灣嘉義地方法院民事","109","建","4","20230109","給付工程款","89620","508","202301/臺灣嘉義地方法院民事/CYDV,109,建,4,20230109,3.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202301/臺灣嘉義地方法院民事/CYDV,109,建,4,20230109,3.json","ok","1","260","778","95","87","1038","95","87","1576","逾期違約金;違約金","工期;完工期限;展延;展期;逾期;遲延","民法第252條;民法第二百五十二條;相當;酌減;第252條;過高","民法第252條;民法第二百五十二條;酌減;第252條;過高","工期;完工期限;展延;展期;逾期;逾期違約金;違約金;遲延","1","1","2的工程合約書第7條所記載預計竣工日期為104年1 1月19日、原證6的工程結算驗收證明書也記載預定竣工日期 為104年11月19日；但另原證4的第2次變更設計工期計算表 ，則記載原合約書完工期限為104年11月22日】。嗣因第二 次契約變更事宜、天候及校長遴選等因素，經被告核定展延 32天之工期，是展延後之預定","6 3,830＋45,958)×3‰＝4,229】。 四、原告既已完成系爭工程全部工項，且被告已實際開始使用， 顯見被告受有遲延損害甚微，故系爭逾期違約金顯然過高， 故原告依民法第251條、第252等規定，懇請鈞院為違約金之 酌減，以維原告權益。 (一)本案逾期違約金性質為「損害賠償額預定性違約金」，依「 無"
"KSDV,106,建,34,20231226,2","202312","2023","臺灣高雄地方法院民事","106","建","34","20231226","給付逾期違約金","67648","313","202312/臺灣高雄地方法院民事/KSDV,106,建,34,20231226,2.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202312/臺灣高雄地方法院民事/KSDV,106,建,34,20231226,2.json","ok","1","180","613","27","24","793","27","24","950","逾期違約金;違約金","工期;完工期限;展延;逾期;遲延","民法第252條;相當;酌減;第252條;過高","民法第252條;酌減;第252條;過高","工期;完工期限;展延;逾期;逾期違約金;違約金;遲延","1","1","給付逾期違約金 臺灣高雄地方法院民事判決 106年度建字第34號 原 告 高雄市政府捷運工程局 法定代理人 吳義隆 訴訟代理人 吳小燕律師","金應為1億6,278萬9,606元(計算式：128,74 6,347＋34,043,259＝162,789,606元)，對被告實嫌過苛，難 符契約正義，請求予以酌減違約金等語置辯，並聲明：㈠原 告之訴及假執行之聲請均駁回。㈡如受不利判決，願供擔保 ，請准免為假執行之宣告。 ㈡、長鴻公司則以：伊與卡夫公司共同承攬系爭工程，"
"PCDV,107,建,2,20211221,1","202112","2021","臺灣新北地方法院民事","107","建","2","20211221","給付工程款等","213488","843","202112/臺灣新北地方法院民事/PCDV,107,建,2,20211221,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202112/臺灣新北地方法院民事/PCDV,107,建,2,20211221,1.json","ok","1","176","506","6","4","682","6","4","710","逾期違約金;違約金","工期;完工期限;展延;逾期;遲延","相當;過高","過高","工期;完工期限;展延;逾期;逾期違約金;違約金;遲延","1","1","均未完成變更程序，而 係於工程結算時始同步完成變更，並以其片面變更，而未 經議價且未按實作計算數量之標準片面結算，故而衍生計 價（含量）與工期之爭議。先整理爭議梗概如下： (1)契約變更爭議（訴之聲明一），包括： ①原契約範圍內施作，但逕遭減價或嗣經被告指示廢棄拆 除部分（片面變更",")已有充分釐清說明。 (2)懸臂段支撐構造：有關被告「辯論意旨狀」第21頁「(二) 」內容以片段不完整之內容主張鑑定合理單價35,000元/m 過高不合理。第三方公正鑑定機關之鑑定報告(鑑定報告 第V～VI頁鑑定結論(八)-7及第50～52、54頁)已有充分釐清 說明。故被告「辯論意旨狀」第21頁「"
"TCHV,108,建上,22,20210421,1","202104","2021","臺灣高等法院臺中分院民事","108","建上","22","20210421","給付工程款等","37850","149","202104/臺灣高等法院臺中分院民事/TCHV,108,建上,22,20210421,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202104/臺灣高等法院臺中分院民事/TCHV,108,建上,22,20210421,1.json","ok","1","87","263","64","55","350","64","55","698","逾期違約金;違約金","工期;完工期限;展延;展期;逾期;遲延","民法第252條;相當;酌減;第252條;過高","民法第252條;酌減;第252條;過高","工期;完工期限;展延;展期;逾期;逾期違約金;違約金;遲延","1","1","號：THB-00000-00 0，下稱系爭契約），由協信公司承攬系爭工程，契約總價 新臺幣（下同）7億9680萬元。系爭工程於同年月6日開工， 原預定工期為750日（日曆天），履約期間曾經臺中港務公 司核准同意展延工期57日，故展延57日後之預定完工日期為 104年9月20日。嗣系爭工程之實際竣工日期為105年4","屬無據，應予返還。縱令協信公司 有逾期，因系爭契約第16條逾期違約金性質，屬損害賠償預 定性違約金，然臺中港務公司實際上並未因此受有任何損害 ，應予以酌減違約金至零，或以鑑定機關台灣省土木技師公 會（下稱土木技師公會）之鑑定報告認定僅逾期25日，參酌 000號碼頭原本之規劃係於105年間使用，該逾期對於臺中港"
"HLHV,109,建上,6,20220413,1","202204","2022","臺灣高等法院花蓮分院民事","109","建上","6","20220413","給付違約金等","38018","126","202204/臺灣高等法院花蓮分院民事/HLHV,109,建上,6,20220413,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202204/臺灣高等法院花蓮分院民事/HLHV,109,建上,6,20220413,1.json","ok","1","262","186","32","26","448","32","26","619","逾期違約金;違約金","工期;展延;逾期;遲延","民法第252條;相當;酌減;第252條;過高","民法第252條;酌減;第252條;過高","工期;展延;逾期;逾期違約金;違約金;遲延","1","1","給付違約金等 臺灣高等法院花蓮分院民事判決 109年度建上字第6號 上 訴 人 即被上訴人 國立臺東大學 法定代理人 曾耀銘 訴訟代理人 張凱翔律師","了，臺東大學本項請求之依據已不復存在。 (六)臺東大學委託監造單位所設計弧形檢索桌之「形狀樣式」 於承攬期間僅一家供應商獨有，且其出售價格超出契約預 算過高，臺東大學亦曾明確告知並無補編預算之意願，伊 所施作之完成品除外觀上之形狀樣式未合於監造單位主觀 意想，其他規格皆符合契約條件，其功能效益完備，且品"
"ULDV,113,建,3,20250620,2","202506","2025","臺灣雲林地方法院民事","113","建","3","20250620","給付工程款","28477","168","202506/臺灣雲林地方法院民事/ULDV,113,建,3,20250620,2.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202506/臺灣雲林地方法院民事/ULDV,113,建,3,20250620,2.json","ok","1","77","371","29","26","448","29","26","610","逾期違約金;違約金","工期;完工期限;展延;展期;逾期;遲延","民法第252條;相當;酌減;第252條;過高","民法第252條;酌減;第252條;過高","工期;完工期限;展延;展期;逾期;逾期違約金;違約金;遲延","1","1","年5月18日通知開工，原告於107年5月23日申報開 工，於109年7月10日申報竣工，工程期間歷經三次變更設計 ，實際履約總天數780日曆天，但如附表所載不計工期及可 展延工期668天，原告實際並未逾期完工（詳後述），故被 告有下述款項尚未給付： ⒈未付工程款561萬8,151元： 被告於110年1月5日驗收（","。退而言之，被告依系爭 契約第17條第4項之約定，以契約價金20％為上限處以原告逾 期違約金以551萬5,288元，顯非合理，違反比例原則，請鈞 院依民法第252條之規定予以酌減。 ㈧就被告主張營造保險逾期40天應予扣罰1,893元一節，原告不 爭執。 ㈨就被告扣留水電申請之款項9萬4,750元部分，原告不同意，"
"PCDV,109,建,93,20220412,1","202204","2022","臺灣新北地方法院民事","109","建","93","20220412","給付工程款","41348","234","202204/臺灣新北地方法院民事/PCDV,109,建,93,20220412,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202204/臺灣新北地方法院民事/PCDV,109,建,93,20220412,1.json","ok","1","95","382","19","17","477","19","17","583","逾期違約金;違約金","工期;完工期限;展延;展期;逾期;遲延","民法第252條;相當;酌減;第252條;過高","民法第252條;酌減;第252條;過高","工期;完工期限;展延;展期;逾期;逾期違約金;違約金;遲延","1","1","聲明 請求被告給付新臺幣（下同）1,732萬8,593元，及自起訴狀 繕本送達翌日起至清償日止，按週年利率5%計算之利息，嗣 於訴訟中將原請求第一階段逾期違約金82萬4,068元，變更 為請求144萬6,150元，並將請求被告給付總金額變更為1,79 5萬675元（見本院卷三第345頁至第347頁），核乃基於請求","約期 間縱遇有被告交付用地遲延等情形，原告仍戮力攢趕工進， 原告於第二階段完工前並無給付義務及給付遲延，被告扣罰 144萬6,150元實屬過苛，請求依民法第252條規定予以酌減 。 ⒊第二階段逾期2天逾期違約金53萬7,816元： 被告於107年11月15日函文向原告表示剩餘土石方於107年11 月15日"
"TPHV,111,建上,4,20230412,2","202304","2023","臺灣高等法院民事","111","建上","4","20230412","給付工程款","55942","261","202304/臺灣高等法院民事/TPHV,111,建上,4,20230412,2.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202304/臺灣高等法院民事/TPHV,111,建上,4,20230412,2.json","ok","1","106","370","20","15","476","20","15","576","逾期違約金;違約金","工期;完工期限;展延;逾期;遲延","民法第252條;相當;酌減;第252條;過高","民法第252條;酌減;第252條;過高","工期;完工期限;展延;逾期;逾期違約金;違約金;遲延","1","1","石運動園區2期（1 區）景觀改善工程」（下稱系爭工程）承攬契約（下稱系爭 契約），約定由上訴人承攬系爭工程，契約金額為新臺幣（ 下同）8,420萬元，工期為自開工日起210日曆天內完工。系 爭工程於101年8月23日開工，契約約定完工期限為102年3月 20日，實際於103年5月5日竣工，同年10月5日完成驗收，","縱上訴人有逾期情形，然上訴人已完成系爭工程，被上訴人 並未因此受有損害，尚因被上訴人要求先行使用設置停車場 ，而得收取停車費近4,600萬餘元，違約金亦應予酌減，被 上訴人即不應再對上訴人計罰違約金。 (七)展延工期間接費用部分： 結算數量增加部分相關工期177天，被上訴人應依系爭契約 第20條第12款約定、民"
"CYDV,107,建,13,20230921,2","202309","2023","臺灣嘉義地方法院民事","107","建","13","20230921","給付工程款","40855","236","202309/臺灣嘉義地方法院民事/CYDV,107,建,13,20230921,2.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202309/臺灣嘉義地方法院民事/CYDV,107,建,13,20230921,2.json","ok","1","25","509","8","5","534","8","5","570","逾期違約金;違約金","工期;展延;展期;逾期;遲延","民法第252條;相當;酌減;第252條","民法第252條;酌減;第252條","工期;展延;展期;逾期;逾期違約金;違約金;遲延","1","1","工程」（下稱本件工程），並簽訂工程契約（下稱本件契約 ）。本件工程於102年8月16日開工，預定的竣工日期原為10 4年8月17日。因施工過程中，經被告核准展延如附表一所示 工期共計333天，完工日期延至105年7月15日。原告於106年 3月6日竣工，並經被告在106年9月4日驗收合格。 ㈡、本件工程因有下述非可歸","共計逾期11 9天為由，計罰違約金共1億1,334萬8,403元，並扣抵工程尾 款。但原告既然無逾期情事，被告不應扣罰逾期違約金。縱 認原告有遲延完工，依民法第252條規定，請求酌減違約金 。 ㈤、本件工程原已因附表一所示因素，展延工期共計333天，扣除 其中因颱風天候因素造成展延的22日，加上附表三應再展延 工期"
"TPHV,107,建上,38,20230221,1","202302","2023","臺灣高等法院民事","107","建上","38","20230221","給付違約金等","37581","196","202302/臺灣高等法院民事/TPHV,107,建上,38,20230221,1.json","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202302/臺灣高等法院民事/TPHV,107,建上,38,20230221,1.json","ok","1","113","370","12","9","483","12","9","546","逾期違約金;違約金","工期;完工期限;展延;展期;逾期;遲延","民法第252條;相當;酌減;第252條;過高","民法第252條;酌減;第252條;過高","工期;完工期限;展延;展期;逾期;逾期違約金;違約金;遲延","1","1","給付違約金等 臺灣高等法院民事判決 107年度建上字第38號 上 訴 人 國立陽明交通大學（原國立交通大學） 法定代理人 林奇宏 訴訟代理人 張訓嘉律師","罰性違約金。又系爭契約第4 條第1項違約金之性質應為損害賠償總額預定，陽明交大辦 理減價收受並未受有損害，扣罰伊2倍懲罰性違約金顯失公 平。原審雖予以酌減50%即81萬5,216元，仍屬過高等語，資 為抗辯。 乙、反訴及追加部分： 一、豪昱等2公司主張：系爭工程經2次變更設計後總價為1億8,8 54萬8,71"
