case_id,court,court_code,case_year_roc,decision_year,case_no,case_type,case_number,case_sequence,decision_date,title,project_type,contract_price,delay_days,penalty_rate_per_day,claimed_penalty,allowed_penalty,penalty_to_contract,remaining_ratio,reduction_rate,is_reduced,issue_actual_damage_unclear,issue_partial_completion,issue_owner_fault,issue_contractor_fault,issue_extension_request,issue_used_by_owner,issue_payment,issue_additional_or_change_work,issue_acceptance_or_settlement,issue_delay_or_penalty,issue_defect_or_repair,issue_retention_or_warranty,issue_setoff_or_deduction,issue_termination,issue_unjust_enrichment,issue_public_procurement,issue_promissory_note,issue_appraisal,key_reason,manual_note,annotation_status,jid,source_file,json_file,judgment_text_available,amount_candidates_delay_or_penalty,amount_candidates_payment,amount_candidates_acceptance_or_settlement
CTDV_109_建_7_20210118_1,臺灣橋頭地方法院,CTDV,109,2021,109年度建字第7號,建,7,1,2021-01-18,返還承攬費用等,,,,,,,,,,,,,,,,,1,1,1,1,1,0,0,1,0,0,0,1,,,needs_manual_review,"CTDV,109,建,7,20210118,1","CTDV,109,建,7,20210118,1.json","05_測試與驗證\test\CTDV,109,建,7,20210118,1.json",1,2500;10000;50000;60000;100000;146057;200000;210000;515943;565943;571091;662000;981091;1000000,2500;10000;50000;60000;90909;100000;135238;146057;200000;210000;515943;565943;571091;662000;981091;1000000,261495
CYDV_108_建_27_20210129_1,臺灣嘉義地方法院,CYDV,108,2021,108年度建字第27號,建,27,1,2021-01-29,給付工程款,,,,,,,,,,,,,,,,,1,1,1,0,1,1,0,1,0,1,0,1,,,needs_manual_review,"CYDV,108,建,27,20210129,1","CYDV,108,建,27,20210129,1.json","05_測試與驗證\test\CYDV,108,建,27,20210129,1.json",1,,71130;136700;186000;193492;276000;436000;450000;850000;1200000;1224000;1300000;1422600;1493730;1833062;2424000;3301650;3724000;3869840;4006540;4063332;4110000;5051560;5557062;6891500,8500;32000;34200;131100;228000;262000
ILDV_109_建_10_20210121_1,臺灣宜蘭地方法院,ILDV,109,2021,109年度建字第10號,建,10,1,2021-01-21,給付工程款,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,,,needs_manual_review,"ILDV,109,建,10,20210121,1","ILDV,109,建,10,20210121,1.json","05_測試與驗證\test\ILDV,109,建,10,20210121,1.json",1,,1197148;3197148,3197148
KMDV_107_建_5_20210128_2,福建金門地方法院,KMDV,107,2021,107年度建字第5號,建,5,2,2021-01-28,給付工程款等,,,,,,,,,,,,,,,,,1,1,1,1,1,0,0,0,1,1,0,0,,,needs_manual_review,"KMDV,107,建,5,20210128,2","KMDV,107,建,5,20210128,2.json","05_測試與驗證\test\KMDV,107,建,5,20210128,2.json",1,23940;44231;565623;888691;5303702;5307745;9049970;17144009,1827;7820;14085;16758;23940;42631;44928;55460;60000;70661;78481;93807;270352;558629;565623;614089;634906;961002;976867;1048698;1495403;2113521;2261826;2263191;3222828;3984000;5303702;5307745;9049970;16256040;91686016;93983980,1552;1827;2200;4000;7820;14085;16758;20000;23940;44231;44928;55460;60000;70661;78481;79920;93807;143640;200000;428241;558629;565623;614089;780545;888691;888961;961002;1048698;1495403;2261826;2263191;2777143;3222828;5307745;9049970;16256040;91686016;93983980
PCDV_106_建_92_20210113_1,臺灣新北地方法院,PCDV,106,2021,106年度建字第92號,建,92,1,2021-01-13,給付工程款,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,0,0,1,0,1,,,needs_manual_review,"PCDV,106,建,92,20210113,1","PCDV,106,建,92,20210113,1.json","05_測試與驗證\test\PCDV,106,建,92,20210113,1.json",1,40901;55975;60975;61656;124195;394849;414751;608842;609249;1229141;1602307;1691324;1736020;1763020;1860633;3526359;3623653;5523515;8543580;11055769;13349786;20573364;22474898;26096879;27144282;29393727;32648519;155443981;168030713;197424440,1465;1477;1500;1615;1839;1973;2000;2464;2674;3720;4259;4263;4410;4613;4905;5000;5558;5738;6000;8464;8493;9050;10159;14160;19730;19818;22446;27996;33768;34884;37476;38093;40901;50000;54736;57001;60582;72036;74500;80000;80257;88344;90000;90576;95256;104039;132024;164208;189000;251109;268404;324132;340000;394849;414751;449214;507822;609249;732478;772624;798943;819403;843745;852881;1145464;1221069;1229141;1463491;1602307;1691324;1736020;1763020;1860633;2253141;2752562;3526359;3623653;5523515;7295313;8439879;8546011;11055769;13028322;13349786;20573364;22474898;23899171;26096879;26313142;28661636;29393727;32648519;168030713;197424440;200000000;201853184,1292;1477;1615;1662;1839;2464;3528;4259;4410;4905;5000;5160;5929;8464;8739;8798;9050;10159;11437;14160;18392;33768;34884;37476;38093;40901;61656;74399;74500;164208;175093;189000;208563;220000;225324;394849;414751;608842;609249;732478;798943;819403;1221069;1229141;1463491;1602307;1763020;1860633;2253141;2752562;3526359;3623653;8439879;20573364;22474898;26313142;27144282;29393727;155443981;168030713;197424440;200000000;201853184
PCDV_108_建_64_20210115_14,臺灣新北地方法院,PCDV,108,2021,108年度建字第64號,建,64,14,2021-01-15,給付工程款,,,,,,,,,,,,,,,,,1,1,1,1,1,0,1,1,1,1,0,1,,,needs_manual_review,"PCDV,108,建,64,20210115,14","PCDV,108,建,64,20210115,14.json","05_測試與驗證\test\PCDV,108,建,64,20210115,14.json",1,4206;7360;8000;15360;476606;1165476,1000;1311;1398;1500;1600;1740;2000;2753;5244;5900;5943;8175;8531;10000;14028;15360;18873;24122;27840;74681;89670;178800;476606;500000;1165476;1250000;1285859;1294390;1359110;1360540;1500000;2243192;2743192;3357924;3525820;4304936;4500000;5000000;5665476;5721001;7243192,1000;1311;1398;1500;1600;1740;2000;2622;2884;5244;5900;5943;8175;8531;10000;14028;17917;18873;20975;24122;27840;28317;33517;34000;39853;107370;120850;132145;157315;390056;491872;500000;1285859;1294390;1360540;2243192;2743192;3055546;3357924;4304936;4500000;5000000;5665476
PCDV_109_建_62_20210129_1,臺灣新北地方法院,PCDV,109,2021,109年度建字第62號,建,62,1,2021-01-29,給付工程款,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,,,needs_manual_review,"PCDV,109,建,62,20210129,1","PCDV,109,建,62,20210129,1.json","05_測試與驗證\test\PCDV,109,建,62,20210129,1.json",1,,156184;180000;562880;742880;1006855;1011117;4047006,180000;562880;742880;1011117
PCDV_109_訴_1395_20210115_7,臺灣新北地方法院,PCDV,109,2021,109年度訴字第1395號,訴,1395,7,2021-01-15,給付工程款,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0,0,1,,,needs_manual_review,"PCDV,109,訴,1395,20210115,7","PCDV,109,訴,1395,20210115,7.json","05_測試與驗證\test\PCDV,109,訴,1395,20210115,7.json",1,640431;685000;1420000,2500;3000;3700;4000;5000;5500;5750;6800;14000;15000;17000;20000;22000;24000;28000;34000;40000;47200;50000;58250;77590;84925;92800;106035;142000;146820;162500;169000;193620;200000;210900;213000;218500;375250;640431;685000;691500;740000;1247320;1420000;1957765;1962315;2060431;2160000;2268000;2671320,2500;4000;15000;50000;146820;169000;200000;213000;685000;691500;1247320;1420000;1962315;2060431;2268000;2671320
PTDV_107_建_26_20210122_2,臺灣屏東地方法院,PTDV,107,2021,107年度建字第26號,建,26,2,2021-01-22,給付工程款等,,,,,,,,,,,,,,,,,1,1,1,1,1,0,1,1,1,0,0,0,,,needs_manual_review,"PTDV,107,建,26,20210122,2","PTDV,107,建,26,20210122,2.json","05_測試與驗證\test\PTDV,107,建,26,20210122,2.json",1,60000;210000;416510;666718;1166790;1226790;1333436;1809946,16190;60000;80679;105000;120000;150686;180000;210000;243084;284457;300000;310500;324112;356510;416510;447227;486168;522968;569563;666718;1166790;1226790;1333436;1620560;1809946,60000;150686;210000;243084;285106;300000;416510;447227;486168;569563;1226790
PTDV_109_建_13_20210106_1,臺灣屏東地方法院,PTDV,109,2021,109年度建字第13號,建,13,1,2021-01-06,給付工程款,,,,,,,,,,,,,,,,,1,1,1,1,0,1,0,1,1,1,0,0,,,needs_manual_review,"PTDV,109,建,13,20210106,1","PTDV,109,建,13,20210106,1.json","05_測試與驗證\test\PTDV,109,建,13,20210106,1.json",1,633349;2223242;5573468;7034189;8205650,21001;167362;260907;327316;633349;2223242;5573468;5921785;6983403;7034189;8205650,167362;633349;2223242;6983403;7034189;8205650
