JID,decision_year,split,court,JTITLE,annotation_priority,manual_checked,relevance_score,actual_is_reduced,predicted_is_reduced,reduction_probability,classification_correct,actual_remaining_ratio,actual_reduction_rate,actual_bucket,mean_predicted_remaining_ratio,ridge_predicted_remaining_ratio,ridge_predicted_reduction_rate,ridge_predicted_bucket,ridge_abs_error,lasso_predicted_remaining_ratio,lasso_predicted_reduction_rate,lasso_predicted_bucket,lasso_abs_error,mean_abs_error,top_classification_toward_reduction,top_classification_toward_no_reduction,top_ratio_toward_less_reduction_ridge,top_ratio_toward_more_reduction_ridge,similar_case_count,similar_labeled_count,similar_labeled_reduced_count,similar_avg_remaining_ratio,top_similar_cases,similar_shared_terms,similar_snippet_digest,source_json_file,explanation_note
"KSDV,109,訴,1349,20210122,4",2021,train_2021_2023,臺灣高雄地方法院民事,返還履約保證金等,1,ai_assumed,285,1,1,0.858876,1,0.089632,0.910368,大幅酌減,0.682156,0.457802,0.542198,中度酌減,0.3682,0.534405,0.465595,中度酌減,0.4448,0.5925,業主可歸責爭點(0.521; 值=0.000)；AI 提示：業主可歸責(0.521; 值=0.000)；契約總價(log)(0.212; 值=13.086),逾期天數(-0.269; 值=31.000)；實際損害不明爭點(-0.124; 值=1.000)；AI 提示：實際損害不明(-0.124; 值=1.000),逾期天數(0.057; 值=31.000)；契約總價(log)(0.022; 值=13.086)；實際損害不明爭點(0.009; 值=1.000),業主可歸責爭點(-0.098; 值=0.000)；AI 提示：業主可歸責(-0.098; 值=0.000)；AI 候選金額數(-0.047; 值=26.000),5,3,1,0.6872,"#1 TPHV,113,重上,4,20260429,1(2026, 臺灣高等法院民事, score=0.9642)；#2 TYDV,111,簡上,255,20231130,1(2023, 臺灣桃園地方法院民事, score=0.9234)；#3 TPDV,110,重訴,616,20230609,2(2023, 臺灣臺北地方法院民事, score=0.9127)；#4 TNDV,113,訴,1627,20251121,1(2025, 臺灣臺南地方法院民事, score=0.911)；#5 TPDV,113,建,73,20251231,1(2025, 臺灣臺北地方法院民事, score=0.9009)",過高;酌減;逾期;逾期違約金;違約金;遲延;展延;履約保證金;驗收;民法第252條;政府採購;第252條,"#1 TPHV,113,重上,4,20260429,1: 構測試，另關於驗收外觀標準亦不明確，迄於108年7月 23日始函覆伊以樣布為準，則伊以上開履約爭議申請暫停履 約第1批及其後各批契約應屬有據，國防部片面解除第2、3 批抗彈布之契約非合法，依民法第179條規定，應返還伊上 開沒收之履約保證…；#2 TYDV,111,簡上,255,20231130,1: 8年12月31日，縱認上訴人未於108年1 月15日完成系爭工作項目，惟被上訴人並未要求改正期限 ，且系爭工作項目業經被上訴人於108年12月17日驗收通 過，上訴人依約自無遲延可言。況上訴人縱有違約情事， 逾期違約金以每日1,000元計…","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/臺灣高雄地方法院民事/KSDV,109,訴,1349,20210122,4.json",本列整合 AI 假設版標註、模型預測、模型特徵貢獻與 RAG 相似案例；正式報告前需回到原判決全文人工查核。
"MLDV,109,建,21,20210128,1",2021,train_2021_2023,臺灣苗栗地方法院民事,給付監造服務費用等,2,ai_assumed,263,0,0,0.332497,1,1,0,未酌減,0.682156,0.862252,0.137748,小幅酌減,0.1377,0.814861,0.185139,小幅酌減,0.1851,0.3178,業主已使用成果爭點(0.165; 值=1.000)；AI 提示：業主已使用成果(0.165; 值=1.000)；AI 候選金額數(0.096; 值=26.000),展延申請爭點(-0.562; 值=0.000)；AI 提示：展延申請(-0.562; 值=0.000)；每日違約金(-0.222; 值=26649.660),展延申請爭點(0.106; 值=0.000)；AI 提示：展延申請(0.106; 值=0.000)；主張違約金(log)(0.031; 值=15.712),AI 候選金額數(-0.047; 值=26.000)；業主已使用成果爭點(-0.034; 值=1.000)；AI 提示：業主已使用成果(-0.034; 值=1.000),5,3,2,0.8453,"#1 CHDV,113,建,12,20250529,3(2025, 臺灣彰化地方法院民事, score=0.929)；#2 TPDV,114,建,6,20250912,1(2025, 臺灣臺北地方法院民事, score=0.914)；#3 PCDV,110,建,49,20230630,2(2023, 臺灣新北地方法院民事, score=0.9119)；#4 TPHV,111,建上,56,20230913,1(2023, 臺灣高等法院民事, score=0.9099)；#5 TPDV,110,建,177,20220407,1(2022, 臺灣臺北地方法院民事, score=0.9043)",工期;逾期;違約金;過高;酌減;逾期違約金;遲延;驗收;民法第252條;issue_partial_completion;第252條;可歸責,"#1 CHDV,113,建,12,20250529,3: ，亦係廠商負責，故原告未提送人員機具車輛名冊及報備攝 影機裝設位置，均無損於被告；且原告提交施工計畫與報表 時，及系爭工程施工期間，被告均未曾要求原告補正提送人 員機具車輛名冊及報備攝影機裝設位置，被告係至系爭工程 完工結算，經審計部通知…；#2 TPDV,114,建,6,20250912,1: 元）。 ㈢縱依契約價金5092萬1424元計算違約131日，亦應考量建照核 准遲延、歷經候鳥度冬期無法進行結構工程，甚至受到疫情 影響，致建築人力、原物料短缺等非可歸責於原告事由，如 以原告違約131日為基準計算之逾期違約金為667萬70…","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/臺灣苗栗地方法院民事/MLDV,109,建,21,20210128,1.json",本列整合 AI 假設版標註、模型預測、模型特徵貢獻與 RAG 相似案例；正式報告前需回到原判決全文人工查核。
"TPHV,108,建上,20,20210331,1",2021,train_2021_2023,臺灣高等法院民事,給付工程款,3,ai_assumed,343,1,1,0.932039,1,0.063,0.937,大幅酌減,0.682156,0.428981,0.571019,中度酌減,0.3660,0.485135,0.514865,中度酌減,0.4221,0.6192,逾期天數(1.125; 值=929.000)；實際損害不明爭點(0.504; 值=0.000)；AI 提示：實際損害不明(0.504; 值=0.000),每日違約金(-0.216; 值=43810.552)；AI 候選金額數(-0.171; 值=36.000)；業主已使用成果爭點(-0.156; 值=0.000),AI 候選金額數(0.063; 值=36.000)；業主已使用成果爭點(0.034; 值=0.000)；AI 提示：業主已使用成果(0.034; 值=0.000),逾期天數(-0.229; 值=929.000)；主張違約金(log)(-0.051; 值=17.522)；實際損害不明爭點(-0.037; 值=0.000),5,5,3,0.7354,"#1 TPHV,109,建上,7,20230913,2(2023, 臺灣高等法院民事, score=0.9635)；#2 TCDV,110,建,70,20251128,1(2025, 臺灣臺中地方法院民事, score=0.9586)；#3 TPDV,103,建,430,20220531,1(2022, 臺灣臺北地方法院民事, score=0.9444)；#4 TPDV,113,建,272,20260409,1(2026, 臺灣臺北地方法院民事, score=0.9433)；#5 TPDV,109,建,151,20221031,2(2022, 臺灣臺北地方法院民事, score=0.9425)",過高;酌減;展延;工期;逾期;逾期違約金;違約金;遲延;可歸責;承攬;驗收;變更設計,"#1 TPHV,109,建上,7,20230913,2: 0日、所裝設之台電高壓用電設備經列為缺失 而未改善、未依約投保為由，分別自應付予伊公司之價款中扣 減逾期違約金8,795,038元、台電高壓用電設備費用633,691元 ，及保險費19,482元。惟系爭工程有應展延工期之情事，故伊 公司實…；#2 TCDV,110,建,70,20251128,1: 百分之32【計 算式：（143＋51）/600=0.32】，對於原告之工班、材料、 動線、機具調度均產生巨大影響，惟原告仍戮力配合被告各 項需求，使同時期施工之機電工程能如期、如質發揮使用目 的性，使本件主體工程即淨水廠於汛期前已可投入運…","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202103/臺灣高等法院民事/TPHV,108,建上,20,20210331,1.json",本列整合 AI 假設版標註、模型預測、模型特徵貢獻與 RAG 相似案例；正式報告前需回到原判決全文人工查核。
"TCHV,108,建上,22,20210421,1",2021,train_2021_2023,臺灣高等法院臺中分院民事,給付工程款等,4,ai_assumed,698,1,1,0.937423,1,0.523776,0.476224,中度酌減,0.682156,0.534281,0.465719,中度酌減,0.0105,0.602594,0.397406,中度酌減,0.0788,0.1584,主張違約金/契約總價(1.530; 值=80975.610)；契約總價(log)(0.731; 值=5.505)；業主已使用成果爭點(0.165; 值=1.000),每日違約金(-0.200; 值=91376.147)；實際損害不明爭點(-0.124; 值=1.000)；AI 提示：實際損害不明(-0.124; 值=1.000),契約總價(log)(0.071; 值=5.505)；AI 候選金額數(0.041; 值=34.000)；業主可歸責爭點(0.014; 值=1.000),主張違約金/契約總價(-0.197; 值=80975.610)；業主已使用成果爭點(-0.034; 值=1.000)；AI 提示：業主已使用成果(-0.034; 值=1.000),5,5,3,0.6551,"#1 ULDV,113,建,3,20250620,2(2025, 臺灣雲林地方法院民事, score=0.9558)；#2 TPHV,107,建上,38,20230221,1(2023, 臺灣高等法院民事, score=0.9551)；#3 TPHV,108,建上,80,20210519,3(2021, 臺灣高等法院民事, score=0.9528)；#4 TPHV,109,建上,85,20250422,1(2025, 臺灣高等法院民事, score=0.9464)；#5 TPHV,109,建上,50,20230117,1(2023, 臺灣高等法院民事, score=0.9343)",過高;酌減;展延;工期;逾期;逾期違約金;違約金;遲延;可歸責;工程款;變更設計;驗收,"#1 ULDV,113,建,3,20250620,2: 事 由，卻將增加及延誤工期之不利益歸由原告承擔，顯非公平 ，被告就原告之處罰實屬不當，自應依民法不當得利之規定 返還原告違約金罰款551萬5,288元。退而言之，被告依系爭 契約第17條第4項之約定，以契約價金20％為上限處以原告逾 期違…；#2 TPHV,107,建上,38,20230221,1: ,887）。 ㈤、有關附表一編號5違約金部分：伊施作工項雖與規定不符，然 對於系爭工程並無重大影響，減價收受即以為足，實無必要 扣罰伊按減價金額2倍計算之懲罰性違約金。又系爭契約第4 條第1項違約金之性質應為損害賠償總額預定，陽明交大辦 …","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202104/臺灣高等法院臺中分院民事/TCHV,108,建上,22,20210421,1.json",本列整合 AI 假設版標註、模型預測、模型特徵貢獻與 RAG 相似案例；正式報告前需回到原判決全文人工查核。
"TCDV,109,建,95,20210415,1",2021,train_2021_2023,臺灣臺中地方法院民事,給付工程款,5,ai_assumed,405,1,1,0.758036,1,,,,,,,,,,,,,,契約總價(log)(1.109; 值=0.000)；AI 候選金額數(0.710; 值=3.000)；展延申請爭點(0.089; 值=1.000),主張違約金(log)(-0.248; 值=13.305)；逾期天數(-0.240; 值=50.000)；每日違約金(-0.228; 值=12000.000),主張違約金(log)(0.141; 值=13.305)；契約總價(log)(0.107; 值=0.000)；逾期天數(0.051; 值=50.000),AI 候選金額數(-0.301; 值=3.000)；展延申請爭點(-0.015; 值=1.000)；AI 提示：展延申請(-0.015; 值=1.000),5,5,5,0.2469,"#1 TNHV,110,建上,18,20251226,1(2025, 臺灣高等法院臺南分院民事, score=0.9727)；#2 CHDV,111,建,48,20250619,1(2025, 臺灣彰化地方法院民事, score=0.9432)；#3 CHDV,107,建,30,20211222,1(2021, 臺灣彰化地方法院民事, score=0.9429)；#4 TPHV,111,建上,33,20231212,1(2023, 臺灣高等法院民事, score=0.9391)；#5 TPHV,111,建上,4,20230412,2(2023, 臺灣高等法院民事, score=0.9377)",過高;酌減;展延;工期;逾期;逾期違約金;違約金;遲延;契約變更;驗收;公共工程;民法第252條,"#1 TNHV,110,建上,18,20251226,1: 份有限公司00230工程採購投標須知（下稱工程採購投標須 知）第5條第㈢款、99年12月29日採購契約要項（下稱採購契 約要項）第48點第㈡款之規定，縱使上訴人有逾分期之進度 ，但未逾最後竣工期限，被上訴人應將已收取之違約金共計 2,31…；#2 CHDV,111,建,48,20250619,1: 原告，原告於同年月18日繳費，原告繳納時已逾 工程驗收合格次日起10日。 二、本件爭點： ㈠展延工期部分： 系爭工程除被告已核准展延之日數外，得否再為展延？如可 ，合理之展延日數為何（不含被告已核准展延之日數）？ ㈡原告請求增加工程管理費…","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202104/臺灣臺中地方法院民事/TCDV,109,建,95,20210415,1.json",本列整合 AI 假設版標註、模型預測、模型特徵貢獻與 RAG 相似案例；正式報告前需回到原判決全文人工查核。
"TNHV,109,建上更一,3,20210420,1",2021,train_2021_2023,臺灣高等法院臺南分院民事,給付工程款,6,ai_assumed,396,1,1,0.51824,1,0.088,0.912,大幅酌減,0.682156,0.629909,0.370091,中度酌減,0.5419,0.632768,0.367232,中度酌減,0.5448,0.5942,AI 候選金額數(0.336; 值=17.000)；展延申請爭點(0.089; 值=1.000)；AI 提示：展延申請(0.089; 值=1.000),逾期天數(-0.181; 值=88.000)；業主已使用成果爭點(-0.156; 值=0.000)；AI 提示：業主已使用成果(-0.156; 值=0.000),逾期天數(0.039; 值=88.000)；業主已使用成果爭點(0.034; 值=0.000)；AI 提示：業主已使用成果(0.034; 值=0.000),AI 候選金額數(-0.147; 值=17.000)；主張違約金(log)(-0.034; 值=17.150)；展延申請爭點(-0.015; 值=1.000),5,5,3,0.5869,"#1 TNHV,113,建上,14,20250508,1(2025, 臺灣高等法院臺南分院民事, score=0.9625)；#2 TPHV,111,建上,4,20230412,2(2023, 臺灣高等法院民事, score=0.9612)；#3 TPHV,109,建上,85,20250422,1(2025, 臺灣高等法院民事, score=0.9589)；#4 TPHV,109,建上,7,20230913,2(2023, 臺灣高等法院民事, score=0.9579)；#5 TPDV,107,建,379,20211125,1(2021, 臺灣臺北地方法院民事, score=0.954)",過高;展延;工期;逾期;逾期違約金;違約金;可歸責;驗收;遲延;酌減;承攬;民法第252條,"#1 TNHV,113,建上,14,20250508,1: 其就初驗缺失改善並無逾期，又縱有逾期，亦應依社團法人 台灣省水利技師公會之鑑定報告（下稱系爭鑑定報告）認定 僅有7日，並應按行政院公共工程委員會（下稱工程會）所 公布之「工程採購契約範本」（下稱契約範本），就未完成 缺失改善部分工項金額以…；#2 TPHV,111,建上,4,20230412,2: 延工期部分，尚須再展延96天，依此 結果上訴人承攬系爭工程即無遲延，自應返還不當計罰之逾 期違約金405萬4,624元，爰依民法第179條規定請求返還。 縱上訴人有逾期情形，然上訴人已完成系爭工程，被上訴人 並未因此受有損害，尚因被上訴人…","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202104/臺灣高等法院臺南分院民事/TNHV,109,建上更一,3,20210420,1.json",本列整合 AI 假設版標註、模型預測、模型特徵貢獻與 RAG 相似案例；正式報告前需回到原判決全文人工查核。
"CHDV,110,建,4,20210430,1",2021,train_2021_2023,臺灣彰化地方法院民事,給付工程款等,7,ai_assumed,259,0,0,0.313986,1,1,0,未酌減,0.682156,0.909942,0.090058,小幅酌減,0.0901,0.88205,0.11795,小幅酌減,0.1179,0.3178,展延申請爭點(0.089; 值=1.000)；AI 提示：展延申請(0.089; 值=1.000),每日違約金(-0.226; 值=16537.372)；契約總價(log)(-0.196; 值=19.029)；逾期天數(-0.184; 值=86.000),主張違約金(log)(0.101; 值=14.168)；逾期天數(0.039; 值=86.000)；業主已使用成果爭點(0.034; 值=0.000),契約總價(log)(-0.017; 值=19.029)；展延申請爭點(-0.015; 值=1.000)；AI 提示：展延申請(-0.015; 值=1.000),5,3,2,0.6576,"#1 TCDV,111,建,84,20251110,2(2025, 臺灣臺中地方法院民事, score=0.9561)；#2 TPSV,113,台上,2161,20250312,1(2025, 最高法院民事, score=0.9511)；#3 TNHV,111,建上更一,2,20240731,2(2024, 臺灣高等法院臺南分院民事, score=0.9488)；#4 TNHV,106,建上,8,20210408,1(2021, 臺灣高等法院臺南分院民事, score=0.9484)；#5 TNDV,113,訴,1627,20251121,1(2025, 臺灣臺南地方法院民事, score=0.9432)",過高;展延;工期;逾期;逾期違約金;違約金;遲延;酌減;可歸責;驗收;履約保證金;保留款,"#1 TCDV,111,建,84,20251110,2: 1年4月25日終止系爭縱溝工項之行為，係權利 濫用，不生合法終止效力，無違約金可言，且被告另行 發包第三人施作系爭縱溝工項之費用，與原告無涉，故 被告對原告無任何債權可供抵銷。再者，縱認被告有違 約金債權，亦應以系爭縱溝工項之結算金額計算…；#2 TPSV,113,台上,2161,20250312,1: 之展延工期71日所增加之管理費。 ㈡爰1.依系爭契約第2條、民法第490條、第491條、第227條之2 規定，請求高公局給付「水平集水管及掛網植生」（合稱系 爭工項）工程款新臺幣（下同）408萬6,012元；2.依民法第 225條第1項、…","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202104/臺灣彰化地方法院民事/CHDV,110,建,4,20210430,1.json",本列整合 AI 假設版標註、模型預測、模型特徵貢獻與 RAG 相似案例；正式報告前需回到原判決全文人工查核。
"TNHV,106,建上,8,20210408,1",2021,train_2021_2023,臺灣高等法院臺南分院民事,給付工程款,8,ai_assumed,259,1,1,0.721059,1,0.911137,0.088863,小幅酌減,0.682156,0.773266,0.226734,小幅酌減,0.1379,0.763545,0.236455,小幅酌減,0.1476,0.2290,契約總價(log)(0.309; 值=11.659)；承包商可歸責爭點(0.266; 值=0.000)；AI 提示：承包商可歸責(0.266; 值=0.000),逾期天數(-0.234; 值=54.000)；每日違約金(-0.204; 值=78371.759)；實際損害不明爭點(-0.124; 值=1.000),主張違約金(log)(0.052; 值=15.258)；逾期天數(0.050; 值=54.000)；契約總價(log)(0.031; 值=11.659),業主已使用成果爭點(-0.034; 值=1.000)；AI 提示：業主已使用成果(-0.034; 值=1.000)；展延申請爭點(-0.015; 值=1.000),5,3,1,0.8779,"#1 TNHV,111,建上更一,2,20240731,2(2024, 臺灣高等法院臺南分院民事, score=0.9765)；#2 CHDV,110,建,4,20210430,1(2021, 臺灣彰化地方法院民事, score=0.9484)；#3 TCDV,111,建,84,20251110,2(2025, 臺灣臺中地方法院民事, score=0.9407)；#4 TPHV,111,建上,35,20231114,1(2023, 臺灣高等法院民事, score=0.9247)；#5 TPHV,112,重上更一,108,20250319,1(2025, 臺灣高等法院民事, score=0.9152)",展延;工期;逾期;逾期違約金;違約金;遲延;酌減;工程款;驗收;履約保證金;可歸責;保留款,"#1 TNHV,111,建上更一,2,20240731,2: 程復於102年5月至8、9月間發生坍滑（ 下稱102年間坍滑），兩造即於102年11月21日合意終止契約 ，然高公局尚應給付：1.水平集水管及掛網植生工程款新臺 幣（下同）408萬6,012元、2.除原審判命高公局返還罰款12 4萬8,4…；#2 CHDV,110,建,4,20210430,1: 度亦受影響， 故原告隆和春公司未依契約規定期限完成土石載運作業，並 無可歸責之事由，被告以此扣罰原告隆和春公司逾期違約金 15,802,377元即屬無據。 縱認系爭土石標作業遲延係可歸責於原告隆和春公司，然本 件土石標逾期部分若依系爭土…","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202104/臺灣高等法院臺南分院民事/TNHV,106,建上,8,20210408,1.json",本列整合 AI 假設版標註、模型預測、模型特徵貢獻與 RAG 相似案例；正式報告前需回到原判決全文人工查核。
"TPHV,108,建上,80,20210519,3",2021,train_2021_2023,臺灣高等法院民事,給付工程款,9,ai_assumed,478,0,1,0.696243,0,1,0,未酌減,0.682156,0.652969,0.347031,中度酌減,0.3470,0.645994,0.354006,中度酌減,0.3540,0.3178,每日違約金(0.902; 值=3211981.357)；主張違約金(log)(0.160; 值=18.315)；AI 候選金額數(0.150; 值=24.000),逾期天數(-0.274; 值=28.000)；業主已使用成果爭點(-0.156; 值=0.000)；AI 提示：業主已使用成果(-0.156; 值=0.000),逾期天數(0.058; 值=28.000)；業主已使用成果爭點(0.034; 值=0.000)；AI 提示：業主已使用成果(0.034; 值=0.000),主張違約金(log)(-0.088; 值=18.315)；AI 候選金額數(-0.069; 值=24.000)；展延申請爭點(-0.015; 值=1.000),5,4,2,0.6310,"#1 TCHV,108,建上,22,20210421,1(2021, 臺灣高等法院臺中分院民事, score=0.9528)；#2 TCHV,111,建上,69,20230728,1(2023, 臺灣高等法院臺中分院民事, score=0.9474)；#3 TPHV,109,建上,85,20250422,1(2025, 臺灣高等法院民事, score=0.9424)；#4 TPHV,107,建上,38,20230221,1(2023, 臺灣高等法院民事, score=0.9377)；#5 TPDV,107,建,379,20211125,1(2021, 臺灣臺北地方法院民事, score=0.9362)",過高;完工期限;展延;工期;逾期;違約金;遲延;酌減;逾期違約金;可歸責;變更設計;工程款,"#1 TCHV,108,建上,22,20210421,1: 8日，而依 系爭契約第16條之規定計算逾期違約金數額高達1億5936萬 元（即系爭契約總價之20%上限），並自其應給付協信公司 之工程款中予以扣除，要屬無據，應予返還。縱令協信公司 有逾期，因系爭契約第16條逾期違約金性質，屬損害賠償預 …；#2 TCHV,111,建上,69,20230728,1: 已同意展延至109年7月22日 。系爭工程於108年7月10日後仍有變更設計，且變更設計之 事由不可歸責於伊，在建築圖說未確定前，無從估算完工期 限，伊不負遲延責任。縱有遲延，上訴人另將水電工程、鷹 架發包給其他公司施作之期間，應予扣除，…","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202105/臺灣高等法院民事/TPHV,108,建上,80,20210519,3.json",本列整合 AI 假設版標註、模型預測、模型特徵貢獻與 RAG 相似案例；正式報告前需回到原判決全文人工查核。
"TPDV,109,建,376,20210528,1",2021,train_2021_2023,臺灣臺北地方法院民事,給付工程款,10,ai_assumed,355,0,1,0.766409,0,1,0,未酌減,0.682156,0.523988,0.476012,中度酌減,0.4760,0.583236,0.416764,中度酌減,0.4168,0.3178,業主可歸責爭點(0.521; 值=0.000)；AI 提示：業主可歸責(0.521; 值=0.000)；逾期天數(0.266; 值=376.000),每日違約金(-0.223; 值=24024.684)；業主已使用成果爭點(-0.156; 值=0.000)；AI 提示：業主已使用成果(-0.156; 值=0.000),業主已使用成果爭點(0.034; 值=0.000)；AI 提示：業主已使用成果(0.034; 值=0.000)；主張違約金(log)(0.017; 值=16.016),業主可歸責爭點(-0.098; 值=0.000)；AI 提示：業主可歸責(-0.098; 值=0.000)；逾期天數(-0.053; 值=376.000),5,1,1,0.2500,"#1 TPHV,110,建上,64,20220622,1(2022, 臺灣高等法院民事, score=0.9747)；#2 NTDV,110,建,8,20230327,1(2023, 臺灣南投地方法院民事, score=0.9604)；#3 KSHV,112,建上,24,20250312,1(2025, 臺灣高等法院高雄分院民事, score=0.9599)；#4 TCDV,110,建,69,20230905,1(2023, 臺灣臺中地方法院民事, score=0.9577)；#5 TNHV,109,建上更一,7,20211117,1(2021, 臺灣高等法院臺南分院民事, score=0.9541)",過高;逾期;逾期違約金;違約金;酌減;展延;工期;工程款;承攬;驗收;民法第252條;issue_partial_completion,"#1 TPHV,110,建上,64,20220622,1: 與他案工程施作之施工介面重疊無法作業，應免計工期 2日，106年12月6、8、9、12、23、25、27日因施工現場落 石情形嚴重，影響施工人員安全，應免計工期7日。106年6 月2、3、10日累計降雨量逾50豪米以上，有高度落石崩塌危 …；#2 NTDV,110,建,8,20230327,1: 原告50 萬元。故被告本應給付原告429萬9,139元，扣除已給付之50 萬元後，應再給付原告379萬9,139元。 ㈢系爭次承攬工程既已完工驗收，且於工程結算驗收證明書上 就逾期違約金之部分亦記載為0元，足認原告並無被告所稱 工程逾期之…","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202105/臺灣臺北地方法院民事/TPDV,109,建,376,20210528,1.json",本列整合 AI 假設版標註、模型預測、模型特徵貢獻與 RAG 相似案例；正式報告前需回到原判決全文人工查核。
