"annotation_status","annotation_priority","JID","decision_year","court","JTITLE","JCASE","JNO","JDATE","json_file","contract_price","delay_days","claimed_penalty","allowed_penalty","remaining_ratio","reduction_rate","reduction_bucket","target_quality","x_log_contract_price","x_log_claimed_penalty","x_claim_to_contract_ratio","x_delay_days","x_penalty_per_delay_day","x_issue_owner_fault","x_issue_contractor_fault","x_issue_extension_request","x_issue_actual_damage_unclear","x_issue_partial_completion","x_issue_used_by_owner","x_ai_issue_owner_fault","x_ai_issue_contractor_fault","x_ai_issue_extension_request","x_ai_issue_actual_damage_unclear","x_ai_issue_partial_completion","x_ai_issue_used_by_owner","x_money_candidate_count","x_delay_candidate_count","x_relevance_score","x_penalty_term_count","x_delay_term_count","x_strong_reduction_term_count","x_has_mfa_252","x_has_discretion","x_has_over_high"
"needs_manual_review","1","KSDV,109,訴,1349,20210122,4","2021","臺灣高雄地方法院民事","返還履約保證金等","訴","1349","20210122","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/臺灣高雄地方法院民事/KSDV,109,訴,1349,20210122,4.json","","","","","","","","missing_claimed_or_allowed_penalty","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","26","12","285","2","3","4","1","1","1"
"needs_manual_review","2","MLDV,109,建,21,20210128,1","2021","臺灣苗栗地方法院民事","給付監造服務費用等","建","21","20210128","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202101/臺灣苗栗地方法院民事/MLDV,109,建,21,20210128,1.json","","","","","","","","missing_claimed_or_allowed_penalty","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","1","26","12","263","2","3","4","1","1","0"
"needs_manual_review","3","TPHV,108,建上,20,20210331,1","2021","臺灣高等法院民事","給付工程款","建上","20","20210331","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202103/臺灣高等法院民事/TPHV,108,建上,20,20210331,1.json","","","","","","","","missing_claimed_or_allowed_penalty","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","36","12","343","2","4","2","0","1","1"
"needs_manual_review","4","TCHV,108,建上,22,20210421,1","2021","臺灣高等法院臺中分院民事","給付工程款等","建上","22","20210421","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202104/臺灣高等法院臺中分院民事/TCHV,108,建上,22,20210421,1.json","","","","","","","","missing_claimed_or_allowed_penalty","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","34","12","698","2","6","4","0","1","1"
"needs_manual_review","5","TCDV,109,建,95,20210415,1","2021","臺灣臺中地方法院民事","給付工程款","建","95","20210415","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202104/臺灣臺中地方法院民事/TCDV,109,建,95,20210415,1.json","","","","","","","","missing_claimed_or_allowed_penalty","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","3","12","405","2","5","4","0","0","1"
"needs_manual_review","6","TNHV,109,建上更一,3,20210420,1","2021","臺灣高等法院臺南分院民事","給付工程款","建上更一","3","20210420","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202104/臺灣高等法院臺南分院民事/TNHV,109,建上更一,3,20210420,1.json","","","","","","","","missing_claimed_or_allowed_penalty","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","17","12","396","2","5","4","0","1","1"
"needs_manual_review","7","CHDV,110,建,4,20210430,1","2021","臺灣彰化地方法院民事","給付工程款等","建","4","20210430","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202104/臺灣彰化地方法院民事/CHDV,110,建,4,20210430,1.json","","","","","","","","missing_claimed_or_allowed_penalty","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","31","12","259","2","4","4","0","1","1"
"needs_manual_review","8","TNHV,106,建上,8,20210408,1","2021","臺灣高等法院臺南分院民事","給付工程款","建上","8","20210408","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202104/臺灣高等法院臺南分院民事/TNHV,106,建上,8,20210408,1.json","","","","","","","","missing_claimed_or_allowed_penalty","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","33","12","259","2","5","4","1","1","1"
"needs_manual_review","9","TPHV,108,建上,80,20210519,3","2021","臺灣高等法院民事","給付工程款","建上","80","20210519","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202105/臺灣高等法院民事/TPHV,108,建上,80,20210519,3.json","","","","","","","","missing_claimed_or_allowed_penalty","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","24","12","478","2","6","4","1","1","1"
"needs_manual_review","10","TPDV,109,建,376,20210528,1","2021","臺灣臺北地方法院民事","給付工程款","建","376","20210528","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202105/臺灣臺北地方法院民事/TPDV,109,建,376,20210528,1.json","","","","","","","","missing_claimed_or_allowed_penalty","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","31","12","355","2","5","4","1","1","1"
"needs_manual_review","11","CHDV,108,建,3,20210621,1","2021","臺灣彰化地方法院民事","給付工程款等","建","3","20210621","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202106/臺灣彰化地方法院民事/CHDV,108,建,3,20210621,1.json","","","","","","","","missing_claimed_or_allowed_penalty","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","36","12","348","2","3","3","0","0","1"
"needs_manual_review","12","TPDV,107,建,379,20211125,1","2021","臺灣臺北地方法院民事","給付工程款","建","379","20211125","02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202111/臺灣臺北地方法院民事/TPDV,107,建,379,20211125,1.json","","","","","","","","missing_claimed_or_allowed_penalty","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","19","12","504","2","5","4","1","1","1"
