model,feature,mean,std,coefficient_scaled,direction
ridge_regression_l2,intercept,,,0.66323779,准許比例同向
ridge_regression_l2,x_log_contract_price,14.66849885,4.88083009,-0.03455,酌減比例同向
ridge_regression_l2,x_log_claimed_penalty,15.50687743,1.80012353,-0.03694721,酌減比例同向
ridge_regression_l2,x_claim_to_contract_ratio,215.95045339,3935.14474356,-0.00814929,酌減比例同向
ridge_regression_l2,x_delay_days,120.77647059,186.77800453,0.00360326,准許比例同向
ridge_regression_l2,x_penalty_per_delay_day,2245541.96147885,30434697.33337994,-0.02314395,酌減比例同向
ridge_regression_l2,x_issue_owner_fault,0.69411765,0.46078014,0.00118757,准許比例同向
ridge_regression_l2,x_issue_contractor_fault,0.74588235,0.43536406,-0.01157002,酌減比例同向
ridge_regression_l2,x_issue_extension_request,0.49882353,0.49999862,0.01713292,准許比例同向
ridge_regression_l2,x_issue_actual_damage_unclear,0.60235294,0.48941176,-0.00076113,酌減比例同向
ridge_regression_l2,x_issue_partial_completion,0.97882353,0.14397232,-0.0084215,酌減比例同向
ridge_regression_l2,x_issue_used_by_owner,0.46588235,0.49883463,0.00839119,准許比例同向
ridge_regression_l2,x_ai_issue_owner_fault,0.69411765,0.46078014,0.00118757,准許比例同向
ridge_regression_l2,x_ai_issue_contractor_fault,0.74588235,0.43536406,-0.01157002,酌減比例同向
ridge_regression_l2,x_ai_issue_extension_request,0.49882353,0.49999862,0.01713292,准許比例同向
ridge_regression_l2,x_ai_issue_actual_damage_unclear,0.60235294,0.48941176,-0.00076113,酌減比例同向
ridge_regression_l2,x_ai_issue_partial_completion,0.97882353,0.14397232,-0.0084215,酌減比例同向
ridge_regression_l2,x_ai_issue_used_by_owner,0.46588235,0.49883463,0.00839119,准許比例同向
ridge_regression_l2,x_money_candidate_count,27.69176471,8.33964609,0.01413306,准許比例同向
ridge_regression_l2,x_delay_candidate_count,9.13411765,4.25132652,-0.02607274,酌減比例同向
lasso_regression_l1,intercept,,,0.66323779,准許比例同向
lasso_regression_l1,x_log_contract_price,14.66849885,4.88083009,-0.02136174,酌減比例同向
lasso_regression_l1,x_log_claimed_penalty,15.50687743,1.80012353,-0.03178463,酌減比例同向
lasso_regression_l1,x_claim_to_contract_ratio,215.95045339,3935.14474356,0.0,接近零
lasso_regression_l1,x_delay_days,120.77647059,186.77800453,0.0,接近零
lasso_regression_l1,x_penalty_per_delay_day,2245541.96147885,30434697.33337994,-0.01601732,酌減比例同向
lasso_regression_l1,x_issue_owner_fault,0.69411765,0.46078014,0.0,接近零
lasso_regression_l1,x_issue_contractor_fault,0.74588235,0.43536406,-0.00681954,酌減比例同向
lasso_regression_l1,x_issue_extension_request,0.49882353,0.49999862,0.00503095,准許比例同向
lasso_regression_l1,x_issue_actual_damage_unclear,0.60235294,0.48941176,0.0,接近零
lasso_regression_l1,x_issue_partial_completion,0.97882353,0.14397232,-0.00482102,酌減比例同向
lasso_regression_l1,x_issue_used_by_owner,0.46588235,0.49883463,0.00294586,准許比例同向
lasso_regression_l1,x_ai_issue_owner_fault,0.69411765,0.46078014,0.0,接近零
lasso_regression_l1,x_ai_issue_contractor_fault,0.74588235,0.43536406,-0.00681954,酌減比例同向
lasso_regression_l1,x_ai_issue_extension_request,0.49882353,0.49999862,0.00503095,准許比例同向
lasso_regression_l1,x_ai_issue_actual_damage_unclear,0.60235294,0.48941176,0.0,接近零
lasso_regression_l1,x_ai_issue_partial_completion,0.97882353,0.14397232,-0.00482102,酌減比例同向
lasso_regression_l1,x_ai_issue_used_by_owner,0.46588235,0.49883463,0.00294586,准許比例同向
lasso_regression_l1,x_money_candidate_count,27.69176471,8.33964609,0.0,接近零
lasso_regression_l1,x_delay_candidate_count,9.13411765,4.25132652,-0.00703846,酌減比例同向
