annotation_status,annotation_priority,JID,decision_year,court,JTITLE,JCASE,JNO,JDATE,json_file,contract_price,delay_days,claimed_penalty,allowed_penalty,remaining_ratio,reduction_rate,reduction_bucket,target_quality,x_log_contract_price,x_log_claimed_penalty,x_claim_to_contract_ratio,x_delay_days,x_penalty_per_delay_day,x_issue_owner_fault,x_issue_contractor_fault,x_issue_extension_request,x_issue_actual_damage_unclear,x_issue_partial_completion,x_issue_used_by_owner,x_ai_issue_owner_fault,x_ai_issue_contractor_fault,x_ai_issue_extension_request,x_ai_issue_actual_damage_unclear,x_ai_issue_partial_completion,x_ai_issue_used_by_owner,x_money_candidate_count,x_delay_candidate_count,x_relevance_score,x_penalty_term_count,x_delay_term_count,x_strong_reduction_term_count,x_has_mfa_252,x_has_discretion,x_has_over_high,final_judgment_extraction_status,final_judgment_amount,principal_award_total,final_judgment_amount_text,mean_baseline_predicted_remaining_ratio,mean_baseline_predicted_reduction_rate,mean_baseline_predicted_allowed_penalty,ridge_regression_l2_predicted_remaining_ratio,ridge_regression_l2_predicted_reduction_rate,ridge_regression_l2_predicted_allowed_penalty,lasso_regression_l1_predicted_remaining_ratio,lasso_regression_l1_predicted_reduction_rate,lasso_regression_l1_predicted_allowed_penalty,elastic_net_predicted_remaining_ratio,elastic_net_predicted_reduction_rate,elastic_net_predicted_allowed_penalty,random_forest_predicted_remaining_ratio,random_forest_predicted_reduction_rate,random_forest_predicted_allowed_penalty,extra_trees_predicted_remaining_ratio,extra_trees_predicted_reduction_rate,extra_trees_predicted_allowed_penalty,gradient_boosting_predicted_remaining_ratio,gradient_boosting_predicted_reduction_rate,gradient_boosting_predicted_allowed_penalty,hist_gradient_boosting_predicted_remaining_ratio,hist_gradient_boosting_predicted_reduction_rate,hist_gradient_boosting_predicted_allowed_penalty
ai_assumed_review,,"CYDV,109,建,4,20230109,3",2023,臺灣嘉義地方法院民事,給付工程款,建,4,20230109,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202301/臺灣嘉義地方法院民事/CYDV,109,建,4,20230109,3.json",17440853,7,3487008,3487008,1,0,未酌減,ok,16.6743258857995,15.0645546198909,0.19993334041632,7,498144,1,1,1,1,1,1,1,1,1,1,1,1,30,12,1576,2,6,5,0,1,1,first_instance_dismissed_no_award,0,,0,0.663238,0.336762,2312716.211904,0.677465,0.322535,2362325.874720,0.675349,0.324651,2354947.365792,0.677255,0.322745,2361593.603040,0.718184,0.281816,2504313.353472,0.649544,0.350456,2264965.124352,0.70258,0.29742,2449902.080640,0.74457,0.25543,2596321.546560
ai_assumed_review,,"KSDV,106,建,34,20231226,2",2023,臺灣高雄地方法院民事,給付逾期違約金,建,34,20231226,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202312/臺灣高雄地方法院民事/KSDV,106,建,34,20231226,2.json",314044876,200,78878862,26213286,0.33232333,0.66767667,中度酌減,ok,19.5650464508583,18.1834238411769,0.251170670270704,200,394394.31,1,1,1,1,1,1,1,1,1,1,1,1,27,12,950,2,5,4,0,1,0,first_instance_dismissed_no_award,0,,0,0.663238,0.336762,52315458.675156,0.6032,0.3968,47579729.558400,0.595975,0.404025,47009829.780450,0.59511,0.40489,46941599.564820,0.617175,0.382825,48682061.654850,0.620178,0.379822,48918934.877436,0.705804,0.294196,55673016.315048,0.565784,0.434216,44628398.057808
ai_assumed_review,,"PCDV,107,建,2,20211221,1",2021,臺灣新北地方法院民事,給付工程款等,建,2,20211221,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202112/臺灣新北地方法院民事/PCDV,107,建,2,20211221,1.json",28892899,262,4057057,1400893,0.34529784,0.65470216,中度酌減,ok,17.1791064135486,15.2159683918804,0.140417096948285,262,15484.9503816794,1,1,1,0,1,1,1,1,1,0,1,1,36,12,710,2,5,1,0,0,1,main_text_award,9214007,9214007,玖佰貳拾壹萬肆仟零柒,0.663238,0.336762,2690794.370566,0.68451,0.31549,2777096.087070,0.674213,0.325787,2735320.571141,0.677423,0.322577,2748343.724111,0.69689,0.30311,2827322.452730,0.656671,0.343329,2664151.677247,0.695806,0.304194,2822924.602942,0.68505,0.31495,2779286.897850
ai_assumed_review,,"TCHV,108,建上,22,20210421,1",2021,臺灣高等法院臺中分院民事,給付工程款等,建上,22,20210421,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202104/臺灣高等法院臺中分院民事/TCHV,108,建上,22,20210421,1.json",246,218,19920000,10433610,0.5237756,0.4762244,中度酌減,ok,5.50533153593236,16.8072348101207,80975.6097560976,218,91376.1467889908,1,1,1,1,1,1,1,1,1,1,1,1,34,12,698,2,6,4,0,1,1,main_text_award,10433610,10433610,壹仟零肆拾參萬參仟陸佰壹拾,0.663238,0.336762,13211700.960000,0.588771,0.411229,11728318.320000,0.661508,0.338492,13177239.360000,0.641119,0.358881,12771090.480000,0.62409,0.37591,12431872.800000,0.723559,0.276441,14413295.280000,0.658973,0.341027,13126742.160000,0.639509,0.360491,12739019.280000
ai_assumed_review,,"HLHV,109,建上,6,20220413,1",2022,臺灣高等法院花蓮分院民事,給付違約金等,建上,6,20220413,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202204/臺灣高等法院花蓮分院民事/HLHV,109,建上,6,20220413,1.json",1852588,178,7057320,5909864,0.8374091,0.1625909,小幅酌減,ok,14.4320941383979,15.7695759340024,3.8094384720186,178,39647.8651685393,1,1,1,1,1,1,1,1,1,1,1,1,36,12,619,2,4,4,1,0,1,appeal_retained_amount,585221,,"585,221",0.663238,0.336762,4680682.802160,0.685862,0.314138,4840347.609840,0.67915,0.32085,4792978.878000,0.683186,0.316814,4821462.221520,0.620787,0.379213,4381092.510840,0.652457,0.347543,4604597.835240,0.608595,0.391405,4295049.665400,0.698737,0.301263,4931210.604840
ai_assumed_review,,"ULDV,113,建,3,20250620,2",2025,臺灣雲林地方法院民事,給付工程款,建,3,20250620,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202506/臺灣雲林地方法院民事/ULDV,113,建,3,20250620,2.json",27582680,668,94750,27576,0.29103958,0.70896042,大幅酌減,ok,17.1326985974722,11.4589971229447,0.00343512668094616,668,141.841317365269,1,1,1,1,1,0,1,1,1,1,1,0,36,12,610,2,6,4,1,1,1,main_text_award,2148003,2148003,"2,148,003",0.663238,0.336762,62841.800500,0.721716,0.278284,68382.591000,0.724456,0.275544,68642.206000,0.726724,0.273276,68857.099000,0.631525,0.368475,59836.993750,0.657629,0.342371,62310.347750,0.702011,0.297989,66515.542250,0.621946,0.378054,58929.383500
ai_assumed_review,,"PCDV,109,建,93,20220412,1",2022,臺灣新北地方法院民事,給付工程款,建,93,20220412,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202204/臺灣新北地方法院民事/PCDV,109,建,93,20220412,1.json",3110410,690,17950675,7202339,0.40122942,0.59877058,中度酌減,ok,14.9502651082637,16.7031382766484,5.77116039364585,690,26015.4710144928,1,1,1,0,1,0,1,1,1,0,1,0,33,12,583,2,6,4,1,1,0,main_text_award,1770544,1770544,壹佰柒拾柒萬零伍佰肆拾肆,0.663238,0.336762,11905569.785650,0.641024,0.358976,11506813.491200,0.63268,0.36732,11357033.059000,0.633358,0.366642,11369203.616650,0.608531,0.391469,10923542.208425,0.63789,0.36211,11450556.075750,0.608595,0.391405,10924691.051625,0.631863,0.368137,11342367.357525
ai_assumed_review,,"TPHV,111,建上,4,20230412,2",2023,臺灣高等法院民事,給付工程款,建上,4,20230412,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202304/臺灣高等法院民事/TPHV,111,建上,4,20230412,2.json",342876,94,4054624,669926,0.16522518,0.83477482,大幅酌減,ok,12.7451241447504,15.2153685162016,11.8253362731716,94,43134.2978723404,1,1,1,1,1,0,1,1,1,1,1,0,28,12,576,2,5,4,0,1,1,main_text_award,590328,590328,伍拾玖萬零參佰貳拾捌,0.663238,0.336762,2689180.712512,0.666335,0.333665,2701737.883040,0.670597,0.329403,2719018.690528,0.671266,0.328734,2721731.233984,0.632184,0.367816,2563268.418816,0.646372,0.353628,2620795.424128,0.64497,0.35503,2615110.841280,0.571331,0.428669,2316532.384544
ai_assumed_review,,"CYDV,107,建,13,20230921,2",2023,臺灣嘉義地方法院民事,給付工程款,建,13,20230921,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202309/臺灣嘉義地方法院民事/CYDV,107,建,13,20230921,2.json",52507589,29,13348403,3348403,0.25084671,0.74915329,大幅酌減,ok,17.7764682694961,16.4069073101867,0.254218547341795,29,460289.75862069,1,1,1,0,1,1,1,1,1,0,1,1,20,12,570,2,5,3,1,1,0,main_text_award,124617037,124617037,"124,617,037",0.663238,0.336762,8853168.108914,0.64053,0.35947,8550052.573590,0.635638,0.364362,8484752.186114,0.634194,0.365806,8465477.092182,0.684662,0.315338,9139144.294786,0.640616,0.359384,8551200.536248,0.705804,0.294196,9421356.231012,0.622455,0.377545,8308780.189365
ai_assumed_review,,"TPHV,107,建上,38,20230221,1",2023,臺灣高等法院民事,給付違約金等,建上,38,20230221,"02_輸入資料/法律課程資料庫-20260707T080337Z-3-001/法律課程資料庫/依年份分類/202302/臺灣高等法院民事/TPHV,107,建上,38,20230221,1.json",88548712,26,37709742,37709742,1,0,未酌減,ok,18.2990633766328,17.4454290275246,0.425864376209108,26,1450374.69230769,1,1,1,1,1,0,1,1,1,1,1,0,36,12,546,2,6,4,0,1,1,main_text_award,1395259,1395259,壹佰參拾玖萬伍仟貳佰伍拾玖,0.663238,0.336762,25010533.864596,0.600966,0.399034,22662272.810772,0.600304,0.399696,22637308.961568,0.600261,0.399739,22635687.442662,0.71757,0.28243,27059379.566940,0.642686,0.357314,24235523.247012,0.706374,0.293626,26637181.295508,0.71853,0.28147,27095580.919260
